Rank,Name
1,Linda
2,Mary
3,Patricia
4,Barbara
5,Sandra
6,Carol
7,Nancy
8,Susan
9,Sharon
10,Donna
11,Kathleen
12,Judith
13,Karen
14,Judy
15,Carolyn
16,Margaret
17,Betty
18,Diane
19,Shirley
20,Joyce
21,Brenda
22,Janice
23,Janet
24,Cheryl
25,Elizabeth
26,Dorothy
27,Gloria
28,Pamela
29,Marilyn
30,Joan
31,Beverly
32,Martha
33,Cynthia
34,Virginia
35,Bonnie
36,Jane
37,Phyllis
38,Helen
39,Frances
40,Jean
41,Ann
42,Peggy
43,Connie
44,Ruth
45,Christine
46,Catherine
47,Alice
48,Diana
49,Gail
50,Elaine
51,Jo
52,Rebecca
53,Suzanne
54,Paula
55,Kathryn
56,Joanne
57,Marie
58,Doris
59,Jacqueline
60,Rita
61,Ellen
62,Deborah
63,Lois
64,Kathy
65,Rose
66,Wanda
67,Sherry
68,Charlotte
69,Sue
70,Sally
71,Darlene
72,Evelyn
73,Sheila
74,Laura
75,Lynn
76,Katherine
77,Lynda
78,Geraldine
79,Maria
80,Rosemary
81,Marcia
82,Norma
83,Dianne
84,Lorraine
85,Theresa
86,Jeanne
87,Patsy
88,Marsha
89,Joann
90,Roberta
91,Eileen
92,Anna
93,Sarah
94,Anita
95,Anne
96,Glenda
97,Sylvia
98,Maureen
99,Louise
100,Constance
101,Vicki
102,Carole
103,Annie
104,Kay
105,Charlene
106,Marjorie
107,Irene
108,Janis
109,Mildred
110,Juanita
111,Dolores
112,Ruby
113,Loretta
114,Marlene
115,Delores
116,Julia
117,Yvonne
118,Arlene
119,Cathy
120,June
121,Teresa
122,Claudia
123,Victoria
124,Julie
125,Jeanette
126,Andrea
127,Gayle
128,Vivian
129,Georgia
130,Gwendolyn
131,Edna
132,Leslie
133,Josephine
134,Paulette
135,Terry
136,Edith
137,Pauline
138,Sara
139,Margie
140,Annette
141,Emma
142,Penny
143,Lillian
144,Ethel
145,Jennifer
146,Audrey
147,Lucille
148,Michele
149,Lynne
150,Clara
151,Priscilla
152,Wilma
153,Thelma
154,Grace
155,Toni
156,Jill
157,Maryann
158,Eleanor
159,Florence
160,Marion
161,Janie
162,Esther
163,Sheryl
164,Pat
165,Gladys
166,Joy
167,Rosa
168,Eva
169,Vickie
170,Denise
171,Stephanie
172,Bernice
173,Willie
174,Jackie
175,Billie
176,Angela
177,Ella
178,Bobbie
179,Marian
180,Bertha
181,Maxine
182,Carla
183,Hazel
184,Valerie
185,Dianna
186,Regina
187,Emily
188,Beatrice
189,Bonita
190,Rachel
191,Lillie
192,Jacquelyn
193,Faye
194,Yolanda
195,Lana
196,Jan
197,Sandy
198,Veronica
199,Ida
200,Stella
201,Harriet
202,Lucy
203,Patty
204,Candace
205,Becky
206,Marianne
207,Christina
208,Dawn
209,Colleen
210,Deanna
211,Bernadette
212,Carmen
213,Vera
214,Rosie
215,Alma
216,Claire
217,Beth
218,Carrie
219,Jessie
220,Caroline
221,Rosemarie
222,Myra
223,Cindy
224,Mattie
225,Nora
226,Rosalie
227,Susie
228,Dixie
229,Minnie
230,Lydia
231,Dora
232,Francine
233,Bessie
234,Renee
235,Nina
236,Johnnie
237,Jeannette
238,Antoinette
239,Deloris
240,Trudy
241,Wendy
242,Cecilia
243,Madeline
244,Elsie
245,Robin
246,Geneva
247,Sharyn
248,Michelle
249,Cecelia
250,Nellie
251,Ramona
252,Iris
253,Mae
254,Lee
255,Olivia
256,Doreen
257,Irma
258,Marguerite
259,Cora
260,Velma
261,Betsy
262,Hilda
263,Agnes
264,Naomi
265,Ernestine
266,Vicky
267,Dale
268,Leona
269,Viola
270,Saundra
271,Gale
272,Penelope
273,Laurie
274,Terri
275,Hattie
276,Verna
277,Laurel
278,Alberta
279,Melody
280,Sharron
281,Miriam
282,Alicia
283,Shelia
284,Bette
285,Bettye
286,Della
287,Cheri
288,Jennie
289,Jeannie
290,Marcella
291,Kristine
292,Dana
293,Pearl
294,Lola
295,Holly
296,Lena
297,Eunice
298,Gertrude
299,Melinda
300,Susanne
301,Lula
302,Ginger
303,Debra
304,Daisy
305,Pam
306,Patti
307,Bettie
308,Myrna
309,Sondra
310,Violet
311,Monica
312,Glenna
313,Erma
314,Judi
315,Sallie
316,Laverne
317,Rhonda
318,Debbie
319,Lucinda
320,Myrtle
321,Fannie
322,Margo
323,Katie
324,Claudette
325,Guadalupe
326,Helene
327,Eloise
328,Amy
329,Flora
330,Lynette
331,Noreen
332,Gretchen
333,Sherrie
334,Cathleen
335,Henrietta
336,Mamie
337,Jayne
338,Diann
339,Nadine
340,Gay
341,Tina
342,Candice
343,Amelia
344,Kaye
345,Jenny
346,Darla
347,Maggie
348,Ada
349,Melba
350,Melanie
351,Rosetta
352,Candy
353,Camille
354,April
355,Lou
356,Gwen
357,Joanna
358,Frankie
359,Karla
360,Freda
361,Adrienne
362,Sonja
363,Kathie
364,Reba
365,Rochelle
366,Molly
367,Olga
368,Lorna
369,Mable
370,Jerry
371,Nelda
372,Earnestine
373,Inez
374,Faith
375,Celia
376,Rosalind
377,Roseann
378,Muriel
379,Mona
380,Polly
381,Adele
382,Natalie
383,Cherie
384,Estella
385,Jessica
386,Jeanie
387,Jimmie
388,Lisa
389,Fay
390,Lauren
391,Marla
392,Ruthie
393,Ilene
394,Janette
395,Lenora
396,Genevieve
397,Lila
398,Sherri
399,Therese
400,Lenore
401,Earlene
402,Lorene
403,Marilynn
404,Eula
405,Hope
406,Jewel
407,Rena
408,Jeri
409,Dona
410,Leah
411,Karin
412,Sadie
413,Corinne
414,Cassandra
415,Isabel
416,Blanche
417,Delia
418,Margarita
419,Gracie
420,Winifred
421,Beverley
422,Tamara
423,Beulah
424,Lora
425,Shelby
426,Eugenia
427,Lupe
428,Ina
429,Josie
430,Kitty
431,Dee
432,Opal
433,Jeannine
434,Cherry
435,Carlene
436,Bernadine
437,Katharine
438,Rae
439,Ora
440,Sheri
441,Gilda
442,Meredith
443,Mabel
444,Etta
445,Ollie
446,Harriett
447,Nettie
448,Rosanne
449,Robyn
450,Marva
451,Essie
452,Jamie
453,Crystal
454,Estelle
455,Lela
456,Chris
457,Maryanne
458,Robbie
459,Tommie
460,Melissa
461,Ingrid
462,Johanna
463,Dorothea
464,Amanda
465,Dorthy
466,Tanya
467,Earline
468,Maryellen
469,Celeste
470,Lavonne
471,Willa
472,Jolene
473,Margery
474,Arleen
475,Merry
476,Pearlie
477,Ladonna
478,Francis
479,Antonia
480,Janine
481,Terrie
482,Delois
483,Elva
484,Mavis
485,Rhoda
486,Marylou
487,Sherrill
488,Addie
489,Sonia
490,Teri
491,Ola
492,Cheryle
493,Judie
494,Christy
495,Georgette
496,Kristin
497,Jewell
498,Lizzie
499,Heather
500,Ronnie
501,Edwina
502,Rosalyn
503,Roxanne
504,Laraine
505,Clare
506,Cornelia
507,Iva
508,Jannie
509,Lottie
510,Nita
511,Aleta
512,Clarice
513,Dolly
514,Suzette
515,Eddie
516,James
517,Elena
518,Sandi
519,Shannon
520,Fern
521,Kim
522,Kimberly
523,Nan
524,Sharlene
525,Elvira
526,Ronda
527,Nola
528,Cathie
529,Karol
530,Madelyn
531,Angelina
532,Sybil
533,Alexis
534,Cathryn
535,Aurora
536,Melva
537,Millie
538,Shari
539,Mollie
540,Roslyn
541,Belinda
542,Dian
543,Suzan
544,Jody
545,Alyce
546,Peggie
547,Marietta
548,Nikki
549,Angie
550,Queen
551,Robert
552,Karon
553,Leola
554,Loraine
555,Cecile
556,Freddie
557,Alison
558,Gerry
559,May
560,Dottie
561,Charleen
562,Yvette
563,Jana
564,Carolann
565,Effie
566,Joe
567,Marlys
568,Christie
569,Lyn
570,Freida
571,Dena
572,Lynnette
573,Nona
574,Marilee
575,Helena
576,Jeanine
577,Alana
578,Shelley
579,Consuelo
580,Dinah
581,Madeleine
582,Lesley
583,Gayla
584,Cleo
585,Jerri
586,Roxie
587,Gaye
588,Rosalinda
589,Sharen
590,Darleen
591,Julianne
592,Elisabeth
593,Imogene
594,Neva
595,Ruthann
596,Elnora
597,Letha
598,Louella
599,Heidi
600,John
601,Lucia
602,Merle
603,Aileen
604,Ava
605,Alta
606,Corrine
607,Kerry
608,Nanette
609,Dollie
610,Caryl
611,Janelle
612,Carlotta
613,Karyn
614,Virgie
615,Elise
616,Madonna
617,Bobby
618,Carmella
619,Esperanza
620,Hannah
621,Maryjane
622,Ila
623,Malinda
624,Gina
625,Nell
626,Pamala
627,Daphne
628,Winnie
629,Patrice
630,Leila
631,Carmela
632,Caren
633,Angeline
634,Reta
635,Michael
636,Reva
637,Ester
638,Carolynn
639,Carrol
640,Lorena
641,Nanci
642,Patrica
643,Elma
644,Georgene
645,Ana
646,Colette
647,Rosella
648,Cinda
649,Frieda
650,Celestine
651,Luana
652,Sonya
653,Veda
654,Rosalee
655,Jerrie
656,Rene
657,Annmarie
658,Bridget
659,Doretha
660,Fran
661,Jerilyn
662,Sherryl
663,Carroll
664,Odessa
665,Roseanne
666,Twila
667,Dorene
668,Elouise
669,Louisa
670,Retha
671,Jacklyn
672,Avis
673,Luella
674,Beryl
675,Libby
676,Marcy
677,William
678,Kristen
679,Lea
680,Leta
681,Bennie
682,Kristina
683,Lilly
684,Tonya
685,Isabelle
686,Lonnie
687,Adeline
688,Deanne
689,Deirdre
690,Portia
691,Georgianna
692,Karolyn
693,Lona
694,Pattie
695,Unknown
696,Alexandra
697,Arline
698,Camilla
699,Corine
700,Wilda
701,Mercedes
702,Ophelia
703,Zelma
704,Concetta
705,Goldie
706,Richard
707,Sammie
708,Leanne
709,Mariann
710,Theodora
711,Corliss
712,Kathi
713,Lauretta
714,Lessie
715,Vernell
716,Bonny
717,Marta
718,Treva
719,Janell
720,Oralia
721,Selma
722,Sherron
723,Georgina
724,Lelia
725,Annetta
726,Charles
727,Felicia
728,Greta
729,Lily
730,Callie
731,Evangeline
732,Harriette
733,Mickey
734,Sydney
735,Jonnie
736,Justine
737,Alfreda
738,Ginny
739,Elsa
740,Katheryn
741,Florine
742,Josefina
743,Randi
744,Leanna
745,Mari
746,Matilda
747,Catharine
748,Danielle
749,Elinor
750,Lucile
751,Charmaine
752,Maryjo
753,Minerva
754,Rhea
755,Erlinda
756,Geri
757,Suzann
758,Tracy
759,Carolina
760,Claudine
761,Kathrine
762,Sheron
763,Benita
764,Nedra
765,Phoebe
766,Susanna
767,Toby
768,Debby
769,Juana
770,Lorine
771,Luanne
772,Angelita
773,Barbra
774,Manuela
775,Suellen
776,Juliette
777,Nannie
778,Noel
779,Ronna
780,Aline
781,Donnie
782,Georgiana
783,Joellen
784,Lavern
785,Margret
786,Ofelia
787,Flossie
788,Gearldine
789,Glynda
790,Laureen
791,George
792,Kate
793,Randy
794,Sherilyn
795,Sophie
796,Starr
797,Adela
798,Danna
799,Elida
800,Ivy
801,Marjory
802,Winona
803,Althea
804,Coleen
805,Eliza
806,Eve
807,Lucretia
808,Charla
809,Charlie
810,Georgie
811,Luann
812,Nicki
813,Shirlee
814,Sidney
815,Cassie
816,Cheryll
817,Jacquelin
818,Pamella
819,Petra
820,Deana
821,Enid
822,Gene
823,Leann
824,Leigh
825,Carleen
826,Glinda
827,Rowena
828,Annabelle
829,Daryl
830,Elisa
831,Hester
832,Rona
833,David
834,Melodie
835,Norene
836,Vonda
837,Tana
838,Ardith
839,Kristi
840,Pennie
841,Roselyn
842,Alene
843,Deidre
844,Janey
845,Phillis
846,Shirlene
847,Sophia
848,Kathlyn
849,Marlyn
850,Marylin
851,Rosita
852,Wilhelmina
853,Ernestina
854,Cherryl
855,Delma
856,Gerri
857,Lori
858,Marina
