Rank,Girl Name,Boy Name
1,Mary,John
2,Anna,William
3,Emma,James
4,Elizabeth,George
5,Margaret,Charles
6,Minnie,Frank
7,Clara,Joseph
8,Bertha,Henry
9,Ida,Robert
10,Annie,Thomas
11,Alice,Edward
12,Florence,Harry
13,Bessie,Walter
14,Grace,Fred
15,Ethel,Arthur
16,Nellie,Albert
17,Martha,Clarence
18,Sarah,Samuel
19,Ella,Louis
20,Mabel,Grover
21,Laura,Ernest
22,Carrie,David
23,Cora,Charlie
24,Maude,Roy
25,Rose,Joe
26,Pearl,Richard
27,Lillian,Will
28,Helen,Oscar
29,Gertrude,Willie
30,Edna,Andrew
31,Edith,Jesse
32,Julia,Daniel
33,Jennie,Peter
34,Myrtle,Carl
35,Mattie,Sam
36,Hattie,Earl
37,Lillie,Frederick
38,Eva,Benjamin
39,Louise,Alfred
40,Jessie,Elmer
41,Lula,Howard
42,Marie,Lewis
43,Ada,Paul
44,Lena,Ralph
45,Catherine,Herbert
46,Frances,Jim
47,Fannie,Michael
48,Josephine,Tom
49,Dora,Martin
50,Katherine,Lee
51,Maggie,Eugene
52,Lucy,Claude
53,Blanche,Jacob
54,Agnes,Ed
55,Elsie,Herman
56,Nora,Francis
57,Stella,Clyde
58,Rosa,Raymond
59,Effie,Harvey
60,Daisy,Edgar
61,May,Jack
62,Mamie,Ben
63,Mae,Edwin
64,Ellen,Lawrence
65,Lizzie,Charley
66,Nettie,Bert
67,Nancy,Chester
68,Alma,Guy
69,Sadie,Otto
70,Ruth,Floyd
71,Della,Luther
72,Susie,Oliver
73,Sallie,Hugh
74,Flora,Ray
75,Maud,Ira
76,Addie,Homer
77,Lydia,Patrick
78,Caroline,Alexander
79,Mollie,Isaac
80,Lottie,Leonard
81,Katie,Jessie
82,Irene,Harold
83,Etta,Leo
84,Georgia,Theodore
85,Lulu,Archie
86,Olive,August
87,Emily,Allen
88,Viola,Sidney
89,Harriet,Philip
90,Amanda,Leroy
91,Jane,Bernard
92,Esther,Alex
93,Kathryn,Stephen
94,Charlotte,Horace
95,Willie,Anthony
96,Beulah,Warren
97,Kate,Julius
98,Ollie,Cleveland
99,Rebecca,Leon
100,Susan,Victor
101,Eliza,Eddie
102,Amelia,Lester
103,Virginia,Marion
104,Nannie,Clifford
105,Hazel,Emil
106,Ruby,Willis
107,Matilda,Milton
108,Belle,Dan
109,Pauline,Dave
110,Estella,Everett
111,Mildred,Alvin
112,Amy,Leslie
113,Hannah,Earnest
114,Theresa,Calvin
115,Leona,Jess
116,Iva,Norman
117,Henrietta,Rufus
118,Augusta,Franklin
119,Eleanor,Jerry
120,Ora,Perry
121,Sara,Amos
122,Rachel,Dennis
123,Josie,Jose
124,Ann,Matthew
125,Anne,Melvin
126,Marion,Lloyd
127,Mayme,Ross
128,Dorothy,Wesley
129,Barbara,Wallace
130,Nina,Alonzo
131,Evelyn,Mack
132,Lola,Nathan
133,Beatrice,Adolph
134,Sophia,Emmett
135,Estelle,Jake
136,Mable,Morris
137,Allie,Percy
138,Maria,Roscoe
139,Lela,Claud
140,Goldie,Stanley
141,Victoria,Adam
142,Eula,Cornelius
143,Callie,Maurice
144,Alta,Willard
145,Betty,Russell
146,Delia,Elbert
147,Janie,Hiram
148,Celia,Wilbur
149,Essie,Irvin
150,Millie,Jay
151,Nell,Manuel
152,Inez,Otis
153,Rena,Aaron
154,Rosie,Cecil
155,Ola,Gus
156,Louisa,Jasper
157,Eunice,Phillip
158,Lou,Abraham
159,Christine,Mike
160,Birdie,Nelson
161,Luella,Simon
162,Bettie,Clinton
163,Bertie,Elijah
164,Ina,Sylvester
165,Sophie,Virgil
166,Vera,Felix
167,Leila,Levi
168,Hilda,Orville
169,Olga,Ellis
170,Winifred,Irving
171,Hulda,Marshall
172,Lora,Gilbert
173,Sylvia,Ollie
174,Dollie,Noah
175,Nelle,Wiley
176,Elva,Anton
177,Verna,Lonnie
178,Christina,Mark
179,Sally,Moses
180,Hettie,Silas
181,Rhoda,Hubert
182,Isabelle,Reuben
183,Lois,Christopher
184,Lelia,Johnnie
185,Isabel,Max
186,Mathilda,Vernon
187,Tillie,Curtis
188,Lucille,Owen
189,Jean,Rudolph
190,Cornelia,Augustus
191,Alberta,Cleve
192,Bess,Clayton
193,Bernice,Edmund
194,Adelaide,Glenn
195,Sue,Bill
196,Violet,Nicholas
197,Gladys,Marvin
198,Loretta,Sherman
199,Frieda,Timothy
200,Abbie,Jeff
201,Lily,Millard
202,Lura,Fredrick
203,Roxie,Newton
204,Genevieve,Elias
205,Gertie,Steve
206,Gussie,Dock
207,Johanna,Grant
208,Adeline,Wilson
209,Carolyn,Ora
210,Helena,Riley
211,Marguerite,Solomon
212,Fanny,Pearl
213,Hester,Bruce
214,Leah,Eli
215,Cecelia,Joel
216,Lucinda,Pete
217,Myra,Andy
218,Mina,Christian
219,Jeannette,Gustave
220,Lilly,Austin
221,Winnie,Clifton
222,Harriett,Juan
223,Katharine,Monroe
224,Lucile,Nathaniel
225,Minerva,Wade
226,Virgie,Jerome
227,Elma,Bob
228,Jeanette,Miles
229,Wilhelmina,Scott
230,Hallie,Bennie
231,Flossie,Edd
232,Lenora,Harley
233,Dessie,Chris
234,Meta,Luke
235,Phoebe,Mose
236,Adele,Julian
237,Cecilia,Gordon
238,Regina,Preston
239,Lettie,Roland
240,Mabelle,Vincent
241,Irma,Abe
242,Eugenia,Donald
243,Lida,Alva
244,Naomi,Byron
245,Selma,Clark
246,Blanch,Glen
247,Claudia,Harrison
248,Freda,Bud
249,Elsa,Karl
250,Francis,Marcus
251,Teresa,Asa
252,Marian,Barney
253,Mittie,Enoch
254,Lila,Joshua
255,Cassie,Louie
256,Emilie,Anderson
257,Linda,Delbert
258,Myrtie,Columbus
259,Cynthia,Emery
260,Marjorie,Ike
261,Olivia,Kenneth
262,Cordelia,Matt
263,Orpha,Boyd
264,Catharine,Cyrus
265,Zella,Jeremiah
