Rank,Name
1,Mary
2,Shirley
3,Barbara
4,Betty
5,Patricia
6,Dorothy
7,Joan
8,Margaret
9,Nancy
10,Helen
11,Carol
12,Joyce
13,Doris
14,Marilyn
15,Ruth
16,Virginia
17,Elizabeth
18,Jean
19,Frances
20,Beverly
21,Lois
22,Janet
23,Donna
24,Martha
25,Alice
26,Dolores
27,Phyllis
28,Carolyn
29,Norma
30,Ann
31,Evelyn
32,Gloria
33,Marie
34,Anna
35,Mildred
36,Peggy
37,Rose
38,Annie
39,Marlene
40,Geraldine
41,Ruby
42,Catherine
43,Jane
44,Joanne
45,Louise
46,Marjorie
47,Janice
48,Eleanor
49,Wanda
50,Sandra
51,Elaine
52,Irene
53,Joann
54,Judith
55,June
56,Patsy
57,Delores
58,Sally
59,Arlene
60,Sylvia
61,Sarah
62,Bonnie
63,Rita
64,Audrey
65,Charlotte
66,Lillian
67,Edna
68,Lorraine
69,Loretta
70,Wilma
71,Kathleen
72,Juanita
73,Jo
74,Florence
75,Josephine
76,Thelma
77,Roberta
78,Gladys
79,Jacqueline
80,Pauline
81,Clara
82,Ethel
83,Grace
84,Anne
85,Lucille
86,Theresa
87,Edith
88,Marion
89,Emma
90,Bernice
91,Darlene
92,Hazel
93,Carole
94,Esther
95,Ellen
96,Sharon
97,Rosemary
98,Yvonne
99,Willie
100,Margie
101,Laura
102,Julia
103,Katherine
104,Jeanette
105,Marian
106,Billie
107,Beatrice
108,Eileen
109,Diane
110,Eva
111,Kathryn
112,Vivian
113,Elsie
114,Bertha
115,Sue
116,Bobbie
117,Maria
118,Lillie
119,Anita
120,Maxine
121,Ida
122,Ella
123,Georgia
124,Vera
125,Constance
126,Gail
127,Susan
128,Sara
129,Bessie
130,Christine
131,Nellie
132,Alma
133,Jeanne
134,Kay
135,Jessie
136,Mattie
137,Rosa
138,Agnes
139,Minnie
140,Connie
141,Lucy
142,Annette
143,Judy
144,Naomi
145,Gertrude
146,Charlene
147,Velma
148,Joy
149,Marcia
150,Pat
151,Sheila
152,Viola
153,Myrtle
154,Suzanne
155,Leona
156,Geneva
157,Harriet
158,Carrie
159,Violet
160,Mae
161,Faye
162,Maureen
163,Rebecca
164,Rachel
165,Linda
166,Rosie
167,Pearl
168,Dora
169,Glenda
170,Eunice
171,Claire
172,Karen
173,Emily
174,Lula
175,Cora
176,Myrna
177,Alberta
178,Caroline
179,Cynthia
180,Gwendolyn
181,Verna
182,Hattie
183,Lena
184,Nina
185,Lola
186,Jeannette
187,Stella
188,Dixie
189,Erma
190,Patty
191,Rosemarie
192,Nora
193,Johnnie
194,Daisy
195,Genevieve
196,Ernestine
197,Ramona
198,Fannie
199,Hilda
200,Deloris
201,Jennie
202,Beulah
203,Flora
204,Irma
205,Bettie
206,Carmen
207,Marguerite
208,Mabel
209,Iris
210,Maryann
211,Jackie
212,Diana
213,Inez
214,Ada
215,Muriel
216,Miriam
217,Laverne
218,Rosalie
219,Opal
220,Della
221,Paula
222,Priscilla
223,Mamie
224,Susie
225,Melba
226,Lila
227,Janie
228,Marcella
229,Katie
230,Eloise
231,Blanche
232,Mable
233,Claudia
234,Teresa
235,Madeline
236,Eula
237,Gayle
238,Claudette
239,Bettye
240,Maggie
241,Jacquelyn
242,Colleen
243,Mona
244,Lydia
245,Bette
246,Nadine
247,Regina
248,Marianne
249,Antoinette
250,Sadie
251,Freda
252,Angela
253,Imogene
254,Reba
255,Amelia
256,Victoria
257,Myra
258,Sallie
259,Nettie
260,Henrietta
261,Jimmie
262,Lorene
263,Fay
264,Frankie
265,Dorthy
266,Estelle
267,Ina
268,Ollie
269,Lou
270,Rosetta
271,Ora
272,Essie
273,Winifred
274,Cecilia
275,Lavonne
276,Valerie
277,Arline
278,Glenna
279,Jewel
280,Lee
281,Nelda
282,Lenora
283,Iva
284,Etta
285,Veronica
286,Natalie
287,Janis
288,Sherry
289,Fern
290,Lela
291,Cleo
292,Isabel
293,Joanna
294,Leola
295,Celia
296,Gracie
297,Jerry
298,Willa
299,Dianne
300,Earline
301,Cecelia
302,Sondra
303,Ola
304,Bernadine
305,Mavis
306,Rhoda
307,Dorothea
308,Helene
309,Lizzie
310,Clarice
311,Dawn
312,Jeannine
313,Addie
314,Ruthie
315,Bernadette
316,Lottie
317,Adrienne
318,Jewell
319,Nell
320,Effie
321,Olga
322,Betsy
323,Francis
324,Polly
325,Alta
