Rank,Girl Name,Boy Name
1,Mary,John
2,Helen,James
3,Margaret,William
4,Dorothy,Robert
5,Ruth,George
6,Anna,Joseph
7,Elizabeth,Charles
8,Mildred,Frank
9,Marie,Edward
10,Alice,Henry
11,Frances,Willie
12,Florence,Thomas
13,Ethel,Walter
14,Lillian,Albert
15,Gladys,Paul
16,Rose,Harry
17,Evelyn,Arthur
18,Edna,Harold
19,Annie,Raymond
20,Louise,Clarence
21,Irene,Richard
22,Catherine,Fred
23,Grace,Jack
24,Hazel,Louis
25,Thelma,Joe
26,Gertrude,Carl
27,Ruby,Howard
28,Martha,Ralph
29,Virginia,Roy
30,Josephine,David
31,Lucille,Ernest
32,Clara,Samuel
33,Bertha,Earl
34,Emma,Charlie
35,Edith,Lawrence
36,Beatrice,Francis
37,Bessie,Anthony
38,Esther,Alfred
39,Pearl,Eugene
40,Sarah,Sam
41,Agnes,Herbert
42,Pauline,Andrew
43,Myrtle,Kenneth
44,Elsie,Donald
45,Eva,Michael
46,Mabel,Leonard
47,Ida,Stanley
48,Viola,Elmer
49,Julia,Lee
50,Minnie,Leroy
51,Nellie,Leo
52,Ann,Herman
53,Laura,Daniel
54,Lillie,Theodore
55,Eleanor,Floyd
56,Willie,Peter
57,Katherine,Clyde
58,Bernice,Russell
59,Marion,Eddie
60,Mattie,Jesse
61,Alma,Chester
62,Ella,Bernard
63,Jessie,Norman
64,Doris,Lester
65,Mae,Lewis
66,Lena,Clifford
67,Anne,Lloyd
68,Marjorie,Ray
69,Betty,Frederick
70,Carrie,Benjamin
71,Vera,Edwin
72,Stella,Jessie
73,Hattie,Oscar
74,Blanche,Johnnie
75,Lucy,Melvin
76,Lois,Milton
77,Jean,Cecil
78,Fannie,Claude
79,Leona,Ben
80,Kathryn,Edgar
81,Jennie,Leon
82,Beulah,Tom
83,Rosa,Philip
84,Marguerite,Marvin
85,Cora,Alvin
86,Mamie,Martin
87,Opal,Luther
88,Ellen,Everett
89,Violet,Harvey
90,Velma,Victor
91,Georgia,Morris
92,Sylvia,Allen
93,Lula,Sidney
94,Ada,Vernon
95,Maggie,Julius
96,Theresa,Stephen
97,Inez,Glenn
98,Genevieve,Homer
99,Charlotte,Vincent
100,Sadie,Jim
101,Daisy,Alexander
102,Susie,Leslie
103,Dora,Oliver
104,Alberta,Wilbur
105,Nancy,Gerald
106,Marian,Hubert
107,Vivian,Manuel
108,Flora,Marion
109,Hilda,Otis
110,Emily,Maurice
111,Nora,Virgil
112,Estelle,Hugh
113,Eunice,Will
114,Rosie,Curtis
115,Juanita,Max
116,Jane,Gilbert
117,Geneva,Jacob
118,Lucile,Irving
119,Wilma,Archie
120,Lola,Gordon
121,Mable,Willard
122,Katie,Warren
123,Christine,Horace
