Rank,Girl Name,Boy Name
1,Mary,John
2,Helen,William
3,Anna,James
4,Margaret,George
5,Ruth,Charles
6,Elizabeth,Robert
7,Florence,Joseph
8,Ethel,Frank
9,Marie,Edward
10,Lillian,Henry
11,Annie,Thomas
12,Edna,Walter
13,Emma,Harry
14,Alice,Willie
15,Bessie,Arthur
16,Bertha,Albert
17,Grace,Fred
18,Rose,Clarence
19,Clara,Paul
20,Mildred,Harold
21,Gladys,Roy
22,Minnie,Joe
23,Gertrude,Raymond
24,Pearl,Richard
25,Mabel,Charlie
26,Frances,Louis
27,Dorothy,Jack
28,Martha,Earl
29,Hazel,Carl
30,Ida,Ernest
31,Irene,Ralph
32,Myrtle,David
33,Eva,Samuel
34,Catherine,Sam
35,Louise,Howard
36,Edith,Herbert
37,Sarah,Andrew
38,Elsie,Elmer
39,Esther,Lee
40,Lillie,Lawrence
41,Agnes,Francis
42,Ella,Alfred
43,Nellie,Will
44,Mattie,Daniel
45,Laura,Eugene
46,Julia,Leo
47,Josephine,Oscar
48,Carrie,Floyd
49,Viola,Herman
50,Hattie,Jesse
51,Ruby,Michael
52,Lena,Lewis
53,Jessie,Tom
54,Mae,Leonard
55,Cora,Ray
56,Beatrice,Clyde
57,Alma,Benjamin
58,Willie,Peter
59,Mamie,Claude
60,Blanche,Lester
61,Lucy,Theodore
62,Fannie,Russell
63,Lula,Eddie
64,Jennie,Frederick
65,Katherine,Leroy
66,Marion,Clifford
67,Lucille,Anthony
68,Stella,Jim
69,Rosa,Jessie
70,Evelyn,Martin
71,Pauline,Edgar
72,Ada,Chester
73,Thelma,Ben
74,Virginia,Edwin
75,Maggie,Dewey
76,Vera,Cecil
77,Maude,Stanley
78,Beulah,Lloyd
79,Dora,Donald
80,Susie,Homer
81,Daisy,Harvey
82,Ellen,Luther
83,Nora,Norman
84,Sadie,Johnnie
85,Leona,Leon
86,Marguerite,Bernard
87,Georgia,Ed
88,Eleanor,Hugh
89,Effie,Patrick
90,Della,Kenneth
91,May,Leslie
92,Ann,Victor
93,Kathryn,Alexander
94,Nettie,Philip
95,Olive,Oliver
96,Bernice,Mack
97,Lottie,Horace
98,Sallie,Milton
99,Nancy,Guy
100,Betty,Everett
101,Hilda,Jacob
102,Theresa,Melvin
103,Lizzie,Charley
104,Lydia,Allen
105,Emily,Alvin
106,Flora,Earnest
107,Katie,Ira
108,Anne,Sidney
109,Violet,Archie
110,Charlotte,Otis
111,Marjorie,Virgil
112,Inez,Julius
113,Ollie,Jerry
114,Lola,Percy
115,Lois,Otto
116,Rosie,Isaac
117,Doris,Bill
118,Estelle,Glenn
119,Addie,Maurice
120,Alberta,Alex
121,Loretta,Dan
122,Lela,Warren
123,Etta,Hubert
124,Mable,Marion
125,Eunice,Lonnie
126,Rebecca,Nathan
127,Goldie,Stephen
128,Jane,Wesley
129,Essie,Vincent
130,Henrietta,Marvin
131,Iva,Manuel
132,Jean,Willard
133,Ora,Vernon
134,Harriet,Willis
135,Caroline,Dave
136,Nannie,Morris
137,Sylvia,Jose
138,Eula,Wallace
139,Mollie,Wilbur
140,Opal,Gerald
141,Velma,Rufus
142,Genevieve,Bennie
143,Verna,Bert
144,Susan,August
145,Marian,Rudolph
146,Amelia,Gilbert
147,Lucile,Curtis
148,Victoria,Perry
149,Madeline,Max
150,Maria,Steve
151,Christine,Franklin
152,Vivian,Gordon
