Rank,Girl Name,Boy Name
1,Mary,Robert
2,Betty,James
3,Dorothy,John
4,Barbara,William
5,Joan,Richard
6,Helen,Charles
7,Margaret,Donald
8,Patricia,George
9,Shirley,Joseph
10,Doris,Thomas
11,Ruth,Edward
12,Virginia,Paul
13,Jean,David
14,Dolores,Kenneth
15,Joyce,Jack
16,Elizabeth,Frank
17,Nancy,Raymond
18,Frances,Harold
19,Marilyn,Billy
20,Lois,Walter
21,Alice,Eugene
22,Norma,Henry
23,Gloria,Arthur
24,Evelyn,Albert
25,Anna,Ralph
26,Mildred,Gerald
27,Marie,Ronald
28,Martha,Carl
29,Phyllis,Joe
30,Rose,Harry
31,Beverly,Willie
32,Donna,Bobby
33,Louise,Fred
34,Marjorie,Howard
35,Ann,Roy
36,Catherine,Norman
37,Irene,Louis
38,Geraldine,Lawrence
39,Ruby,Clarence
40,Eleanor,Earl
41,Annie,Herbert
42,Peggy,Francis
43,Florence,Jerry
44,June,Daniel
45,Janet,Marvin
46,Carol,Anthony
47,Lillian,Ernest
48,Rita,Leonard
49,Lorraine,Stanley
50,Jane,Alfred
51,Josephine,Melvin
52,Edna,Leroy
53,Thelma,Roger
54,Wanda,Bernard
55,Gladys,Michael
56,Pauline,Samuel
57,Juanita,Wayne
58,Delores,Bill
59,Theresa,Don
60,Carolyn,Ray
61,Clara,Peter
62,Lucille,Dale
63,Bernice,Russell
64,Audrey,Gene
65,Edith,Andrew
66,Marion,Floyd
67,Ethel,Lloyd
68,Joanne,Edwin
69,Wilma,Leo
70,Grace,Theodore
71,Sarah,Philip
72,Elaine,Glenn
73,Bonnie,Frederick
74,Hazel,Vernon
75,Charlotte,Clifford
76,Emma,Gordon
77,Arlene,Clyde
78,Jacqueline,Bob
79,Esther,Allen
80,Anne,Alvin
81,Billie,Jimmie
82,Vivian,Elmer
83,Patsy,Herman
84,Marian,Leon
85,Beatrice,Douglas
86,Elsie,Vincent
87,Kathleen,Lewis
88,Rosemary,Larry
89,Laura,Jimmy
90,Joann,Lee
91,Julia,Martin
92,Katherine,Gilbert
93,Willie,Harvey
94,Eva,Charlie
95,Marlene,Eddie
96,Loretta,Lester
97,Sally,Jesse
98,Jeanne,Arnold
99,Ellen,Milton
100,Ida,Warren
101,Maxine,Bruce
102,Bertha,Cecil
103,Agnes,Jerome
104,Janice,Duane
105,Jeanette,Chester
106,Eileen,Johnny
107,Margie,Roland
108,Kathryn,Curtis
109,Maria,Victor
110,Ella,Johnnie
111,Vera,Patrick
112,Lillie,Glen
113,Bessie,Benjamin
114,Alma,Wallace
115,Gertrude,Tommy
116,Jo,Jim
117,Anita,Maurice
118,Constance,Sam
119,Nellie,Calvin
120,Georgia,Alan
121,Roberta,Virgil
122,Jessie,Edgar
123,Sylvia,Keith
124,Bobbie,Willard
125,Christine,Tom
126,Lucy,Jose
127,Viola,Dean
128,Darlene,Billie
129,Minnie,Oscar
130,Mattie,Stephen
131,Velma,Hugh
132,Violet,Manuel
133,Leona,Marion
134,Myrtle,Claude
135,Sara,Jessie
136,Geneva,Everett
137,Pearl,Hubert
138,Rosa,Dennis
139,Claire,Leslie
140,Naomi,Max
141,Mae,Phillip
142,Stella,Jackie
143,Harriet,Wesley
144,Dora,Homer
145,Genevieve,Nicholas
146,Alberta,Rudolph
147,Eunice,Lowell
148,Carrie,Franklin
149,Lena,Wilbur
150,Jennie,Junior
151,Yvonne,Allan
152,Joy,Dick
153,Sue,Gary
154,Verna,Morris
155,Rosie,Ted
156,Lola,Luther
157,Marguerite,Lyle
158,Faye,Sidney
159,Emily,Delbert
160,Cora,Horace
161,Rachel,Willis
162,Lula,Earnest
163,Erma,Ben
164,Ramona,Dan
165,Caroline,Neil
166,Inez,Jay
167,Hilda,Darrell
168,Judith,Clayton
169,Fannie,Bennie
170,Rebecca,Tony
171,Opal,Freddie
172,Muriel,Alexander
173,Beulah,Steve
174,Mabel,Guy
175,Hattie,Oliver
176,Laverne,Salvatore
177,Bettie,Archie
178,Daisy,Bobbie
179,Charlene,Carroll
180,Susan,Juan
181,Rosalie,Otis
182,Nina,Alex
183,Connie,Lonnie
184,Lila,Edmund
185,Jeannette,Julius
186,Ada,Rodney
187,Johnnie,Alton
188,Flora,Clifton
189,Marcella,Leland
190,Blanche,Mike
191,Mamie,Clinton
192,Teresa,Myron
193,Ernestine,Wilbert
194,Rosemarie,Angelo
195,Irma,Doyle
196,Carmen,Marshall
197,Eloise,Mark
198,Pat,Merle
199,Madeline,Nathaniel
200,Deloris,Orville
201,Imogene,Ramon
202,Nora,Ivan
203,Mable,Wendell
204,Iris,Karl
205,Gwendolyn,Jesus
206,Antoinette,Antonio
207,Eula,Ira
208,Miriam,Matthew
209,Susie,Nelson
210,Della,Benny
211,Diane,Dewey
212,Carole,Pete
213,Patty,Conrad
214,Suzanne,Malcolm
215,Marcia,Irving
216,Regina,Loren
217,Melba,Jacob
218,Estelle,Ervin
219,Colleen,Dwight
220,Katie,Elbert
221,Priscilla,Eldon
222,Maggie,Gerard
223,Annette,Irvin
224,Bettye,Carlos
225,Maureen,Perry
226,Lorene,Sylvester
227,Sadie,Rex
228,Victoria,Laurence
229,Bette,Loyd
230,Janie,Wilfred
231,Olga,Nick
232,Winifred,Byron
233,Reba,Carlton
234,Henrietta,Fredrick
235,Lydia,Julian
236,Jacquelyn,Norbert
237,Freda,Tommie
238,Cynthia,Troy
239,Fay,Mack
240,Jackie,Rufus
241,Nadine,Felix
242,Angela,Joel
243,Angelina,Burton
244,Dixie,Forrest
245,Ina,Irwin
246,Marianne,Roosevelt
247,Natalie,Ruben
248,Amelia,Buddy
249,Nettie,Bert
250,Paula,Aaron
251,Essie,Ellis
252,Veronica,Owen
253,Luella,Ross
254,Sharon,Emil
255,Fern,Grady
256,Glenna,Isaac
257,Ora,Sherman
258,Isabel,Nathan
259,Kay,Harley
260,Lela,Johnie
261,Ollie,Boyd
262,Jimmie,Francisco
263,Jewel,Lynn
264,Bernadine,Teddy
265,Diana,August
266,Sheila,Harlan
267,Maryann,Reginald
268,Sallie,Rudy
269,Linda,Elwood
270,Dorthy,Percy
