Rank,Name
1,Mary
2,Betty
3,Dorothy
4,Barbara
5,Joan
6,Helen
7,Margaret
8,Patricia
9,Shirley
10,Doris
11,Ruth
12,Virginia
13,Jean
14,Dolores
15,Joyce
16,Elizabeth
17,Nancy
18,Frances
19,Marilyn
20,Lois
21,Alice
22,Norma
23,Gloria
24,Evelyn
25,Anna
26,Mildred
27,Marie
28,Martha
29,Phyllis
30,Rose
31,Beverly
32,Donna
33,Louise
34,Marjorie
35,Ann
36,Catherine
37,Irene
38,Geraldine
39,Ruby
40,Eleanor
41,Annie
42,Peggy
43,Florence
44,June
45,Janet
46,Carol
47,Lillian
48,Rita
49,Lorraine
50,Jane
51,Josephine
52,Edna
53,Thelma
54,Wanda
55,Gladys
56,Pauline
57,Juanita
58,Delores
59,Theresa
60,Carolyn
61,Clara
62,Lucille
63,Bernice
64,Audrey
65,Edith
66,Marion
67,Ethel
68,Joanne
69,Wilma
70,Grace
71,Sarah
72,Elaine
73,Bonnie
74,Hazel
75,Charlotte
76,Emma
77,Arlene
78,Jacqueline
79,Esther
80,Anne
81,Billie
82,Vivian
83,Patsy
84,Marian
85,Beatrice
86,Elsie
87,Kathleen
88,Rosemary
89,Laura
90,Joann
91,Julia
92,Katherine
93,Willie
94,Eva
95,Marlene
96,Loretta
97,Sally
98,Jeanne
99,Ellen
100,Ida
101,Maxine
102,Bertha
103,Agnes
104,Janice
105,Jeanette
106,Eileen
107,Margie
108,Kathryn
109,Maria
110,Ella
111,Vera
112,Lillie
113,Bessie
114,Alma
115,Gertrude
116,Jo
117,Anita
118,Constance
119,Nellie
120,Georgia
121,Roberta
122,Jessie
123,Sylvia
124,Bobbie
125,Christine
126,Lucy
127,Viola
128,Darlene
129,Minnie
130,Mattie
131,Velma
132,Violet
133,Leona
134,Myrtle
135,Sara
136,Geneva
137,Pearl
138,Rosa
139,Claire
140,Naomi
141,Mae
142,Stella
143,Harriet
144,Dora
145,Genevieve
146,Alberta
147,Eunice
148,Carrie
149,Lena
150,Jennie
151,Yvonne
152,Joy
153,Sue
154,Verna
155,Rosie
156,Lola
157,Marguerite
158,Faye
159,Emily
160,Cora
161,Rachel
162,Lula
163,Erma
164,Ramona
165,Caroline
166,Inez
167,Hilda
168,Judith
169,Fannie
170,Rebecca
171,Opal
172,Muriel
173,Beulah
174,Mabel
175,Hattie
176,Laverne
177,Bettie
178,Daisy
179,Charlene
180,Susan
181,Rosalie
182,Nina
183,Connie
184,Lila
185,Jeannette
186,Ada
187,Johnnie
188,Flora
189,Marcella
190,Blanche
191,Mamie
192,Teresa
193,Ernestine
194,Rosemarie
195,Irma
196,Carmen
197,Eloise
198,Pat
199,Madeline
200,Deloris
201,Imogene
202,Nora
203,Mable
204,Iris
205,Gwendolyn
206,Antoinette
207,Eula
208,Miriam
209,Susie
210,Della
211,Diane
212,Carole
213,Patty
214,Suzanne
215,Marcia
216,Regina
217,Melba
218,Estelle
219,Colleen
220,Katie
221,Priscilla
222,Maggie
223,Annette
224,Bettye
225,Maureen
226,Lorene
227,Sadie
228,Victoria
229,Bette
230,Janie
231,Olga
232,Winifred
233,Reba
234,Henrietta
235,Lydia
236,Jacquelyn
237,Freda
238,Cynthia
239,Fay
240,Jackie
241,Nadine
242,Angela
243,Angelina
244,Dixie
245,Ina
246,Marianne
247,Natalie
248,Amelia
249,Nettie
250,Paula
251,Essie
252,Veronica
253,Luella
254,Sharon
255,Fern
256,Glenna
257,Ora
258,Isabel
259,Kay
260,Lela
261,Ollie
262,Jimmie
263,Jewel
264,Bernadine
265,Diana
266,Sheila
267,Maryann
268,Sallie
269,Linda
270,Dorthy
271,Frankie
272,Iva
273,Etta
274,Olive
275,Myra
276,Clarice
277,Lottie
278,Dorothea
279,Adele
280,Mona
281,Adeline
282,Celia
283,Rhoda
284,Cleo
285,May
286,Mavis
287,Elinor
288,Leola
289,Angeline
290,Lou
291,Ola
292,Cecilia
293,Addie
294,Nell
295,Cecelia
296,Estella
297,Sandra
298,Annabelle
299,Therese
300,Willa
301,Jewell
302,Lee
303,Jeannine
304,Lenora
305,Helene
306,Gracie
307,Alta
308,Ila
309,Sophie
310,Goldie
311,Nelda
312,Effie
313,Selma
314,Elva
315,Myrna
316,Dona
317,Lizzie
318,Lupe
319,Lavonne
320,Lenore
321,Judy
322,Isabelle
323,Lorna
324,Jerry
325,Corinne
326,Greta
327,Olivia
328,Elvira
329,Polly
330,Claudia
331,Francis
332,Neva
333,Rosetta
334,Carmela
335,Earline
336,Lucile
337,Ruthie
338,Dolly
339,Elma
340,Guadalupe
341,Winnie
342,Amy
343,Doreen
344,James
345,Robert
346,Rena
347,Elnora
348,Josie
349,Nannie
350,Eugenia
351,Joanna
352,Virgie
353,Renee
354,Betsy
355,Mollie
356,John
357,Yolanda
358,Eleanore
359,Robbie
360,Leah
361,Beverley
362,Margery
363,Earnestine
364,Consuelo
365,Delia
366,Rosella
367,Harriett
368,Eddie
369,Margarita
370,Molly
371,Nola
372,Earlene
373,Millie
374,Pearlie
375,Lora
376,Arline
377,Christina
378,Flossie
379,Dawn
380,Alicia
381,Dollie
382,Bernadette
383,Carmella
384,Leila
385,Aileen
386,Zelma
387,Ilene
388,Concetta
389,Corrine
390,Cornelia
391,Loraine
392,Marlys
393,Melva
394,Wilda
395,Sybil
396,Avis
397,Tommie
398,Nona
399,Lily
400,Odessa
401,Faith
402,Janis
403,Cecile
404,Aurora
405,Alyce
406,Reva
407,Winona
408,Florine
409,Janette
410,Letha
411,Edwina
412,Helena
413,Valerie
414,Bobby
415,Gail
416,Matilda
417,Beth
418,Georgie
419,William
420,Julie
421,Aline
422,Iona
423,Clare
424,Frieda
425,Roslyn
426,Antonia
427,Evangeline
428,Glenda
429,Beryl
430,Joe
431,Queen
432,Pansy
433,Bennie
434,Jenny
435,Delphine
436,Louella
437,Marietta
438,Alene
439,Maude
440,Corine
441,Hannah
442,Merle
443,Charles
444,Mercedes
445,Amanda
446,Angie
447,Bonita
448,Freddie
449,Eliza
450,Elouise
451,Ima
452,Rae
453,Bertie
454,Johanna
455,Ophelia
456,Allie
457,Lorine
458,Lilly
459,Gretchen
460,Berniece
461,Noreen
462,Lessie
463,Joretta
464,Hope
465,Leota
466,Madge
467,Jannie
468,Monica
469,Retha
470,Gwen
471,Leatrice
472,Hester
473,Twila
474,Allene
475,Dortha
476,Callie
477,Ardis
478,Ester
479,Gilda
480,Marylou
481,Dorris
482,Lynn
483,Roxie
484,Lorena
485,Edythe
486,Elena
487,Maudie
488,Lelia
489,Zelda
490,Reta
491,Ione
492,George
493,Rosalee
494,Nita
495,Esperanza
496,Verla
497,Ardith
498,Petra
499,Gayle
500,Maurine
501,Gay
502,Katharine
503,Vernell
504,Carla
505,Dessie
506,Emogene
507,Iola
508,Madelyn
509,Sonia
510,Belva
511,Camille
512,Leta
513,Lucia
514,Claudine
515,Rosalyn
516,Althea
517,Charlie
518,Donald
519,Jeanine
520,Velda
521,Doretha
522,Rowena
523,Zella
524,Deborah
525,Ladonna
526,Francine
527,Carlene
528,Elisabeth
529,Philomena
530,Bobbye
531,Hellen
532,Billy
533,Leora
534,Marilynn
535,Enid
536,Karen
537,Oma
538,Birdie
539,Gussie
540,Josefina
541,Richard
542,Millicent
543,Adelaide
544,Pearline
545,Peggie
546,Elise
547,Syble
548,Sondra
549,Delma
550,Jaunita
551,Phoebe
552,Verda
553,Elsa
554,Germaine
555,Gerry
556,Isabella
557,Shirlee
558,Marjory
559,Minerva
560,Vernice
561,Ava
562,Charline
563,Freida
564,Manuela
565,Margret
566,Vada
567,Valeria
568,Alva
569,Tillie
570,Gertie
571,Juana
572,Francisca
573,Madonna
574,Sophia
575,Madeleine
576,Wilhelmina
577,Lauretta
578,Marlyn
579,Nan
580,Ofelia
581,Lavon
582,Roma
583,Vida
584,Alfreda
585,Floy
586,Augusta
587,Erna
588,Laurel
589,Georgette
590,Isabell
591,Harriette
592,Justine
593,Roselyn
594,Lura
595,Rosalind
596,Hallie
597,Kitty
598,Magdalene
599,Oleta
600,Celestine
601,Gene
602,Norene
603,Ona
604,Rhea
605,Rubye
606,Vilma
607,Louisa
608,Terry
609,Aurelia
610,Billye
611,Dovie
612,Raquel
613,Alvina
614,Claudette
615,Elisa
616,Sammie
617,Adell
618,Myrtis
619,Dorotha
620,Socorro
621,Clementine
622,Jayne
623,Adrienne
624,Donnie
625,Ouida
626,Elda
627,Joseph
628,Berta
629,Lucinda
630,Pattie
631,Camilla
632,Carolina
633,Cleta
634,Delois
635,Florene
636,Gearldine
637,Juliette
638,Fanny
639,Georgianna
640,Garnet
641,Theodora
642,Tina
643,Una
644,Darleen
645,Yvette
646,Theda
647,Elvera
648,Marvel
649,Dianne
650,Jan
651,Lavern
652,Ursula
653,Vesta
654,Norine
655,Susanne
656,Alpha
657,Christene
658,Denise
659,Larue
660,Lue
661,Treva
662,Edward
663,Leslie
664,Marianna
665,Artie
666,Lona
667,Arleen
668,Doloris
669,Hortense
670,Jacquelin
671,Kate
672,Pamela
673,Angelita
674,Dorcas
675,Georgiana
676,Ivy
677,Sherry
678,Benita
679,Linnie
680,Maryjane
681,Veda
682,Blanch
683,Celeste
684,Dana
685,Darline
686,Elida
687,Johnie
688,Agatha
689,Caryl
690,Catharine
691,Charmaine
692,Dorene
693,Elna
694,Magdalena
695,Mitzi
696,Mozelle
697,Dottie
698,Eldora
699,Mazie
700,Patti
701,Laverna
702,Lettie
703,Margarett
704,Mina
705,Paul
706,Katheryn
707,Novella
708,Albertha
709,Annabell
710,Carmelita
711,Cordelia
712,Jeraldine
713,Lavina
714,Leone
715,Thomas
716,Wynona
717,Andrea
718,Leatha
719,Margarette
720,Myrtice
721,Stephanie
722,Carmel
723,Marceline
724,Mayme
725,Jeanie
726,Martina
727,Roseann
728,Emilia
729,Jack
730,Jocelyn
731,Kathrine
732,Lita
733,Annetta
734,Antonette
735,Cassie
736,Cathryn
737,Dorla
738,Frank
739,Jeane
740,Concepcion
741,Idella
742,Ray
743,Crystal
744,Henry
745,Hortencia
746,Vergie
747,Zola
748,Adela
749,Carroll
750,Almeda
751,Cecil
752,Georgene
753,Georgina
754,Joycelyn
755,Lonnie
756,Odell
757,Zona
758,Bridget
759,Eleanora
760,Marylin
761,Beatriz
762,Easter
763,Lovie
764,Loyce
765,Mittie
766,Nedra
767,Zoe
768,Coleen
769,Daphne
770,Dena
771,Ernestina
772,Ethelyn
773,Tessie
774,Vonda
775,Waneta
776,Willene
777,Bernardine
778,Berneice
779,Dale
780,Freeda
781,Lucretia
782,Maybelle
783,Nova
784,Amalia
785,Armida
786,Cherry
787,Elayne
788,Eulalia
789,Kenneth
790,Lina
791,Maryanne
792,Orpha
793,Ana
794,Corene
795,Leonora
796,Zora
797,Aletha
798,Cherie
799,Jill
800,Julianne
801,Marilee
802,Melvina
803,Meredith
804,Nada
805,Sonya
806,Abbie
807,Josefa
808,Lea
809,Maxie
810,Raymond
811,Walter
812,Elois
813,Estela
814,Filomena
815,Lawanda
816,Romona
817,Willia
818,Alda
819,Arthur
820,Bethel
821,Catalina
822,Delphia
823,Dominga
824,Hettie
825,Lavada
826,Libby
827,Magnolia
828,Tomasa
829,Velva
830,Ardella
831,Bernita
832,Cruz
833,Jamie
834,Mickey
835,Mozell
836,Nila
837,Palma
838,Albina
839,Emilie
840,Lolita
841,Margot
842,Toni
843,Tressie
844,Audra
845,Brenda
846,Charleen
847,Estell
848,Gaynell
849,Jeannie
850,Joye
851,Luetta
852,Lyla
853,Merlene
854,Verona
855,Vina
856,Willodean
857,Colette
858,Elease
859,Jettie
860,Jonnie
861,Neoma
862,Audry
863,Earlean
864,Harold
865,Ira
866,Rubie
867,Twyla
868,Arvilla
869,Evie
870,Kattie
871,Belle
872,Cathrine
873,Oralia
874,Rosanna
875,Winnifred
876,Adella
877,Annabel
878,Esta
879,Evalyn
880,Leonor
881,Mandy
882,Rosaline
883,Rozella
884,Rutha
885,Vernie
886,Versie
887,Amparo
888,Carrol
889,Chloe
890,Elizebeth
891,Erlene
892,Marcelle
893,Octavia
894,Romaine
895,Roy
896,Sofia
897,Verlie
898,Ardell
899,Elmira
900,Era
901,Eugene
902,Felicia
903,Juliet
904,Laquita
905,Leanna
906,Luvenia
907,Marsha
908,Merna
909,Nanette
910,Rosina
911,Zula
912,Ardeth
913,Claudie
914,Evangelina
915,Louis
916,Louvenia
917,Mardell
918,Maryellen
919,Verlene
920,Jeanetta
921,Lulu
922,Marva
923,Nathalie
924,Ocie
925,Patrica
926,Arden
927,David
928,Inell
929,Nella
930,Ossie
931,Dean
932,Earl
933,Eloisa
934,Emmie
935,Eve
936,Fairy
937,Gerald
938,Lynne
939,Mariann
940,Marylyn
941,Annamae
942,Carl
943,Clarissa
944,Erlinda
945,Golda
946,Joetta
947,Lida
948,Lilia
949,Myrtie
950,Nannette
951,Rosamond
952,Santa
953,Delilah
954,Jolene
955,Marge
956,Rosanne
957,Susanna
958,Wanita
959,Ardelle
960,Barbra
961,Becky
962,Elenora
963,Janelle
964,Lynette
965,Mammie
966,Merilyn
967,Trinidad
968,Trudy
969,Venita
970,Adelle
971,Altha
972,Annis
973,Ardyce
974,Belia
975,Beverlee
976,Blossom
977,Clarabelle
978,Delfina
979,Florida
980,Madie
981,Malinda
982,Maurice
983,Sonja
984,Aida
985,Bella
986,Drucilla
987,Gregoria
988,Imelda
989,Marilou
990,Naoma
991,Phylis
992,Rosita
993,Savannah
994,Vincenza
995,Adelina
996,Anastasia
997,Cathleen
998,Celine
999,Cheryl
1000,Clyde
