Rank,Girl Name,Boy Name
1,Mary,John
2,Dorothy,Robert
3,Helen,William
4,Margaret,James
5,Ruth,Charles
6,Virginia,George
7,Mildred,Joseph
8,Betty,Edward
9,Frances,Frank
10,Elizabeth,Richard
11,Anna,Thomas
12,Evelyn,Harold
13,Doris,Donald
14,Marie,Paul
15,Alice,Walter
16,Marjorie,Raymond
17,Florence,Henry
18,Irene,Jack
19,Lillian,Arthur
20,Rose,Albert
21,Martha,Harry
22,Louise,Kenneth
23,Catherine,Ralph
24,Gladys,Warren
25,Jean,David
26,Ruby,Eugene
27,Edna,Howard
28,Josephine,Clarence
29,Eleanor,Louis
30,Thelma,Carl
31,Lucille,Earl
32,Ethel,Roy
33,Edith,Fred
34,Hazel,Willie
35,Grace,Francis
36,Annie,Joe
37,Pauline,Lawrence
38,Lois,Ernest
39,Bernice,Leonard
40,Barbara,Anthony
41,Beatrice,Stanley
42,Esther,Herbert
43,Marion,Alfred
44,Shirley,Samuel
45,Clara,Bernard
46,Gertrude,Norman
47,Jane,Michael
48,Rita,Elmer
49,Katherine,Daniel
50,June,Leo
51,Norma,Andrew
52,Emma,Russell
53,Ann,Melvin
54,Sarah,Edwin
55,Elsie,Leroy
56,Agnes,Chester
57,Juanita,Peter
58,Julia,Lloyd
59,Bertha,Marvin
60,Phyllis,Gerald
61,Lorraine,Frederick
62,Geraldine,Clifford
63,Eva,Floyd
64,Kathryn,Herman
65,Pearl,Theodore
66,Viola,Lester
67,Ida,Ray
68,Vivian,Vernon
69,Marian,Clyde
70,Anne,Vincent
71,Laura,Lewis
72,Wilma,Philip
73,Myrtle,Alvin
74,Willie,Leon
75,Bessie,Milton
76,Vera,Charlie
77,Maxine,Jesse
78,Alma,Martin
79,Charlotte,Cecil
80,Nellie,Glenn
81,Violet,Wayne
82,Audrey,Benjamin
83,Kathleen,Victor
84,Patricia,Gordon
85,Mabel,Sam
86,Stella,Lee
87,Nancy,Harvey
88,Sylvia,Wallace
89,Ella,Willard
90,Genevieve,Edgar
91,Jessie,Arnold
92,Leona,Oscar
93,Lucy,Dale
94,Lillie,Allen
95,Ellen,Everett
96,Minnie,Claude
97,Elaine,Stephen
98,Marguerite,Virgil
99,Jennie,Roger
100,Eileen,Wilbur
101,Wanda,Maurice
102,Gloria,Marion
103,Opal,Gilbert
104,Lena,Morris
105,Mattie,Homer
106,Margie,Leslie
107,Theresa,Roland
108,Velma,Johnnie
109,Jeanne,Billy
110,Mae,Sidney
111,Dolores,Douglas
112,Blanche,Max
113,Geneva,Manuel
114,Harriet,Nicholas
115,Sara,Hubert
116,Beulah,Alexander
117,Georgia,Jessie
118,Christine,Eddie
119,Muriel,Glen
120,Eunice,Hugh
121,Emily,Bill
122,Loretta,Curtis
123,Hilda,Luther
124,Janet,Irving
125,Jeanette,Jerome
126,Carrie,Franklin
127,Inez,Wesley
128,Rosemary,Julius
129,Maria,Horace
130,Dora,Steve
131,Rosa,Calvin
132,Naomi,Jose
133,Alberta,Willis
134,Anita,Tony
135,Fannie,Oliver
136,Sophie,Don
137,Joyce,Orville
138,Arlene,Earnest
139,Madeline,Ben
140,Cora,Guy
141,Verna,Jerry
142,Joan,Edmund
143,Lula,Jacob
144,Hattie,Tom
145,Ada,Mike
146,Carolyn,Bruce
147,Miriam,Jimmie
148,Roberta,Angelo
149,Constance,Alex
150,Mamie,Lyle
151,Bonnie,Otis
152,Rachel,Patrick
153,Olga,Keith
154,Olive,Ronald
155,Mable,Archie
156,Flora,Delbert
157,Lola,Rudolph
158,Erma,Clayton
159,Marcella,Salvatore
160,Daisy,Clifton
161,Estelle,Matthew
162,Caroline,Phillip
163,Winifred,Wilbert
164,Eloise,Marshall
165,Irma,Jim
166,Carol,Ira
167,Nora,Junior
168,Susie,Dean
169,Bette,Clinton
170,Eula,Gene
171,Rosie,Leland
172,Lorene,Ervin
173,Maggie,Merle
174,Fern,Jay
175,Rebecca,Johnny
176,Sadie,Ivan
177,Adeline,Emil
178,Lucile,Bob
179,Victoria,Irvin
180,Antoinette,Forrest
181,Nina,Bennie
182,Claire,Julian
183,Lottie,Nick
184,Henrietta,Dewey
185,Laverne,Sylvester
186,Beverly,Nathan
187,Della,Nathaniel
188,Regina,Antonio
189,Donna,Wilfred
190,Billie,Dennis
191,Jeannette,Rufus
192,Angelina,Dan
193,Rosalie,Elbert
194,Veronica,Nelson
195,Peggy,Owen
196,Dorothea,Seymour
197,Lydia,Aaron
198,Nettie,Grover
199,Essie,Lowell
200,Amelia,Alton
201,Cleo,Woodrow
202,Faye,Abraham
203,Angeline,Ellis
204,Goldie,Carroll
205,May,Pete
206,Katie,Felix
207,Isabel,Bert
208,Freda,Isaac
209,Ollie,Lonnie
210,Melba,Otto
211,Johnnie,Johnie
212,Lela,Mark
213,Lila,Grady
214,Sally,Ted
215,Adele,Elwood
216,Luella,Myron
217,Ernestine,August
218,Annette,Emmett
219,Jewell,Murray
220,Effie,Percy
221,Isabelle,Wilson
222,Susan,Loyd
223,Imogene,Laurence
224,Addie,Malcolm
225,Ora,Eldon
226,Cecelia,Rex
227,Gwendolyn,Wendell
228,Bettie,Adam
229,Delores,Fredrick
230,Leola,Norbert
231,Iva,Allan
232,Jewel,Dominick
233,Sallie,Karl
234,Carmen,Juan
235,Eleanore,Perry
236,Cecilia,Byron
237,Yvonne,Dominic
238,Nell,Roscoe
239,Jacqueline,Billie
240,Ola,Amos
241,Reba,Duane
242,Ina,Harley
243,Alta,Troy
244,Etta,Gerard
245,Teresa,Mack
246,Janice,Adolph
247,Natalie,Jesus
248,Priscilla,Ross
249,Elva,Burton
250,Janie,Mario
251,Selma,Freddie
252,Iris,Neil
253,Marilyn,Erwin
254,Celia,Dwight
255,Angela,Larry
256,Sue,Loren
257,Lizzie,Sherman
258,Francis,Aubrey
259,Nadine,Carlton
260,Frieda,Doyle
261,Estella,Millard
262,Annabelle,Morton
263,Arline,Charley
264,Helene,Garland
265,Ila,Cornelius
266,Lenora,Preston
267,Amy,Boyd
268,Elnora,Austin
269,Elinor,Steven
270,Fay,Louie
271,Elma,Mitchell
272,Nannie,Wilmer
273,Eugenia,Harlan
274,Matilda,Grant
275,Clarice,Tommie
276,Maude,Laverne
277,Mollie,Tommy
278,Elvira,Reuben
279,Carmela,Edmond
280,Margery,Maynard
281,Bernadine,Joel
282,Mavis,Simon
283,Rena,Carlos
284,Harriett,Jasper
285,Sybil,Elton
286,Virgie,Russel
287,Flossie,Wade
288,Connie,Moses
289,Myra,Alan
290,Edythe,Monroe
291,Gracie,Will
292,Leah,Dallas
293,Alyce,Darrell
294,Olivia,Elmo
295,Carmella,Lynn
296,Hannah,Roosevelt
297,Dorthy,Jimmy
298,Millie,Rodney
299,Sophia,Francisco
300,Cornelia,Jake
301,Cecile,Clark
302,Neva,Ruben
303,Lee,Solomon
304,Winnie,Emanuel
305,Aileen,Marcus
306,Dollie,Ramon
307,Marcia,Stuart
308,Frankie,Rocco
309,Odessa,Dick
310,Zelma,Harrison
311,Merle,Thurman
312,Adelaide,Elvin
313,Rhoda,Cleo
314,Concetta,Neal
315,Allie,Merlin
316,Letha,Cleveland
317,Madge,Jess
318,Rosella,Buford
319,Lorena,Lionel
320,Jimmie,Earle
321,Josie,Delmar
322,Claudia,Irwin
323,Lenore,Cyril
324,Rosetta,Gus
325,Berniece,Pedro
326,Lily,Odell
327,Loraine,Patsy
328,Willa,Kermit
329,Florine,Alfonso
330,Avis,Clair
331,Corinne,Conrad
332,Amanda,Dave
333,Joy,Benny
334,Helena,Carmen
335,Ramona,Alonzo
336,Darlene,Andy
337,Christina,Bruno
338,Suzanne,Vito
339,Deloris,Wilburn
340,Aline,Wiley
341,Linda,Clement
342,Guadalupe,Armand
343,Lora,Hollis
344,Hope,Stewart
345,Iona,Emery
346,Bernadette,Christopher
347,Beth,Eli
348,Yolanda,Jean
349,Dolly,Ollie
350,Eliza,Norris
351,Judith,Alva
352,Reva,Barney
353,Ophelia,Claud
354,Callie,Winston
355,Lessie,Ned
356,Leila,Ed
357,Pearlie,Thaddeus
358,Bobbie,Adrian
359,Leota,Merrill
360,Lilly,Weldon
361,Antonia,Herschel
362,Hester,Ellsworth
363,Ione,Teddy
364,Tillie,Alphonse
365,Johanna,Bobby
366,Earline,Ward
367,Eddie,Reginald
368,Madelyn,Wilford
369,Aurora,Levi
370,Katharine,Randolph
371,Glenna,Sammie
372,Wilda,Sterling
373,Paula,Orval
374,Nola,Basil
375,Corine,Anton
376,Dixie,Emory
377,Lou,Vern
378,Charlene,Elijah
379,Althea,Roman
380,Maudie,Forest
381,Gussie,Lavern
382,Stephanie,Sanford
383,Kay,Timothy
384,Lupe,Noah
385,Molly,Jackson
386,Mona,Travis
387,Mercedes,Harris
388,Iola,Sol
389,Cynthia,Van
390,Dortha,Luis
391,Marietta,Hyman
392,Marjory,Truman
393,Philomena,Armando
394,Tessie,Pasquale
395,Theda,Emerson
396,Bertie,Harding
397,Nona,Milford
398,Kate,Buster
399,Lelia,Elliott
400,Augusta,Miles
