Rank,Girl Name,Boy Name
1,Mary,James
2,Barbara,Robert
3,Patricia,John
4,Carol,William
5,Linda,Richard
6,Judith,Charles
7,Betty,David
8,Nancy,Thomas
9,Sandra,Ronald
10,Shirley,Donald
11,Carolyn,Larry
12,Margaret,Joseph
13,Joyce,George
14,Dorothy,Jerry
15,Sharon,Kenneth
16,Judy,Michael
17,Joan,Edward
18,Janet,Paul
19,Karen,Gary
20,Donna,Gerald
21,Elizabeth,Frank
22,Janice,Raymond
23,Virginia,Dennis
24,Helen,Harold
25,Martha,Roger
26,Gloria,Walter
27,Susan,Billy
28,Ruth,Henry
29,Beverly,Carl
30,Marilyn,Joe
31,Frances,Daniel
32,Jean,Jack
33,Bonnie,Arthur
34,Alice,Lawrence
35,Phyllis,Bobby
36,Kathleen,Willie
37,Ann,Wayne
38,Doris,Ralph
39,Peggy,Roy
40,Diane,Albert
41,Brenda,Stephen
42,Marie,Eugene
43,Lois,Fred
44,Elaine,Peter
45,Geraldine,Jimmy
46,Jane,Anthony
47,Norma,Howard
48,Carole,Harry
49,Rose,Norman
50,Evelyn,Louis
51,Catherine,Bruce
52,Patsy,Philip
53,Wanda,Douglas
54,Joanne,Johnny
55,Charlotte,Leonard
56,Anna,Melvin
57,Dolores,Stanley
58,Joann,Earl
59,Annie,Dale
60,Sarah,Francis
61,Sally,Ernest
62,Louise,Clarence
63,Rita,Marvin
64,Mildred,Terry
65,Sylvia,Samuel
66,Jo,Don
67,Ellen,Leroy
68,Gail,Bill
69,Ruby,Frederick
70,Kay,Patrick
71,Marjorie,Tommy
72,Roberta,Gene
73,Jacqueline,Allen
74,Irene,Alfred
75,Sue,Russell
76,Darlene,Herbert
77,Arlene,Phillip
78,Eleanor,Eddie
79,Connie,Ronnie
80,Delores,Jim
81,Loretta,Lee
82,Anne,Andrew
83,Marlene,Ray
84,Juanita,Alan
85,Katherine,Martin
86,Rebecca,Glenn
87,Kathryn,Bernard
88,Julia,Tom
89,Edna,Jimmie
90,June,Steven
91,Anita,Barry
92,Josephine,Gordon
93,Lorraine,Leon
94,Rosemary,Clifford
95,Theresa,Theodore
96,Glenda,Lloyd
97,Suzanne,Edwin
98,Jeanette,Franklin
99,Emma,Jesse
100,Diana,Curtis
101,Christine,Jerome
102,Maria,Floyd
103,Edith,Bob
104,Lillian,Vincent
105,Marcia,Warren
106,Wilma,Harvey
107,Florence,Alvin
108,Thelma,Vernon
109,Pauline,Lewis
110,Sheila,Jackie
111,Clara,Mike
112,Cynthia,Steve
113,Vivian,Clyde
114,Constance,Herman
115,Laura,Charlie
116,Ethel,Leo
117,Audrey,Gilbert
118,Gladys,Victor
119,Lucille,Keith
120,Yvonne,Danny
121,Eileen,Timothy
122,Margie,Mark
123,Grace,Arnold
124,Sara,Benjamin
125,Charlene,Lester
126,Jeanne,Leslie
127,Georgia,Rodney
128,Annette,Jon
129,Maureen,Duane
130,Marion,Darrell
131,Hazel,Johnnie
132,Priscilla,Cecil
133,Bernice,Calvin
134,Pat,Jeffrey
135,Eva,Allan
136,Willie,Chester
137,Deanna,Jay
138,Esther,Freddie
139,Maxine,Glen
140,Bertha,Milton
141,Ella,Lynn
142,Marian,Joel
143,Beatrice,Dean
144,Lillie,Roland
145,Bobbie,Tony
146,Dianne,Nicholas
147,Maryann,Lonnie
148,Ida,Elmer
149,Billie,Jose
150,Joy,Sam
151,Paula,Claude
152,Rosalie,Dan
153,Lynda,Brian
154,Rosa,Manuel
155,Pamela,Wallace
156,Lucy,Ted
157,Elsie,Wendell
158,Harriet,Wesley
159,Rachel,Willard
160,Faye,Hugh
161,Myrna,Neil
162,Emily,Jessie
163,Alma,Maurice
164,Mattie,Marion
165,Jessie,Oscar
166,Minnie,Edgar
