Rank,Girl Name,Boy Name
1,Mary,John
2,Helen,William
3,Dorothy,James
4,Margaret,Robert
5,Ruth,Joseph
6,Mildred,George
7,Anna,Charles
8,Elizabeth,Edward
9,Frances,Frank
10,Marie,Thomas
11,Alice,Walter
12,Evelyn,Henry
13,Florence,Harold
14,Rose,Paul
15,Virginia,Harry
16,Lillian,Albert
17,Louise,Arthur
18,Edna,Raymond
19,Gladys,Richard
20,Ethel,Louis
21,Irene,Clarence
22,Catherine,Ralph
23,Ruby,Carl
24,Josephine,Willie
25,Grace,Donald
26,Thelma,Howard
27,Hazel,Fred
28,Martha,Jack
29,Edith,David
30,Annie,Francis
31,Lucille,Earl
32,Esther,Roy
33,Gertrude,Kenneth
34,Eleanor,Ernest
35,Pauline,Lawrence
36,Clara,Samuel
37,Beatrice,Joe
38,Emma,Anthony
39,Bertha,Herbert
40,Elsie,Michael
41,Agnes,Stanley
42,Julia,Alfred
43,Sarah,Eugene
44,Doris,Woodrow
45,Bernice,Elmer
46,Ann,Leonard
47,Bessie,Andrew
48,Marjorie,Leo
49,Ida,Frederick
50,Eva,Russell
51,Marion,Peter
52,Viola,Bernard
53,Myrtle,Herman
54,Katherine,Daniel
55,Pearl,Edwin
56,Mabel,Chester
57,Anne,Norman
58,Nellie,Floyd
59,Lois,Lester
60,Jean,Theodore
61,Jessie,Melvin
62,Laura,Charlie
63,Minnie,Leroy
64,Alma,Clyde
65,Willie,Sam
66,Kathryn,Vincent
67,Betty,Lloyd
68,Vera,Clifford
69,Stella,Philip
70,Ella,Benjamin
71,Lillie,Milton
72,Sylvia,Lewis
73,Lena,Ray
74,Leona,Cecil
75,Mattie,Martin
76,Blanche,Oscar
77,Lucy,Marvin
78,Marguerite,Lee
79,Mae,Jesse
80,Jennie,Victor
81,Jane,Leon
82,Violet,Alvin
83,Vivian,Vernon
84,Genevieve,Gerald
85,Beulah,Glenn
86,Opal,Stephen
87,Charlotte,Edgar
88,Ellen,Claude
89,Velma,Morris
90,Carrie,Sidney
91,Fannie,Wilbur
92,Wilma,Arnold
93,Marian,Harvey
94,Barbara,Gordon
95,Juanita,Maurice
96,Hattie,Homer
97,Theresa,Everett
98,Inez,Alexander
99,Emily,Willard
100,Georgia,Allen
101,Rosa,Max
102,Nancy,Eddie
103,Cora,Gilbert
104,Ada,Irving
105,Hilda,Leslie
106,Mamie,Julius
107,Eunice,Virgil
108,Alberta,Ben
109,Dora,Warren
110,Kathleen,Nicholas
111,Lula,Marion
112,Estelle,Hubert
113,Sophie,Wayne
114,Sara,Jessie
115,Sadie,Hugh
116,Rita,Luther
117,Madeline,Jacob
118,Loretta,Johnnie
119,Maxine,Curtis
120,Geneva,Orville
121,Geraldine,Steve
122,Phyllis,Wilson
123,Daisy,Horace
124,Christine,Oliver
125,Harriet,Manuel
126,Verna,Wallace
127,Maggie,Nathan
128,Lucile,Roland
129,Olive,Glen
130,Lola,Alex
131,Susie,Edmund
132,Flora,Franklin
133,Maria,Wesley
134,Mable,Archie
135,Nora,Tom
136,Audrey,Willis
137,Muriel,Guy
138,Sally,Roger
139,Norma,Rudolph
140,Erma,Otis
141,Henrietta,Jerome
142,Naomi,Abraham
143,Lottie,Emil
144,Irma,Earnest
145,Rachel,Mike
146,Miriam,Otto
147,Victoria,Tony
148,Olga,Patrick
149,Caroline,Clifton
150,Goldie,Jerry
151,Della,Matthew
