Rank,Name
1,Mary
2,Helen
3,Margaret
4,Ruth
5,Dorothy
6,Anna
7,Elizabeth
8,Mildred
9,Marie
10,Alice
11,Florence
12,Frances
13,Ethel
14,Lillian
15,Gladys
16,Edna
17,Rose
18,Evelyn
19,Louise
20,Irene
21,Grace
22,Annie
23,Catherine
24,Hazel
25,Gertrude
26,Thelma
27,Ruby
28,Martha
29,Bertha
30,Virginia
31,Josephine
32,Clara
33,Edith
34,Emma
35,Bessie
36,Lucille
37,Esther
38,Beatrice
39,Elsie
40,Pearl
41,Mabel
42,Agnes
43,Myrtle
44,Ida
45,Julia
46,Viola
47,Eva
48,Pauline
49,Sarah
50,Minnie
51,Nellie
52,Lillie
53,Katherine
54,Willie
55,Laura
56,Ann
57,Eleanor
58,Marion
59,Mattie
60,Ella
61,Alma
62,Bernice
63,Jessie
64,Doris
65,Lena
66,Carrie
67,Vera
68,Mae
69,Blanche
70,Stella
71,Lucy
72,Leona
73,Lois
74,Kathryn
75,Hattie
76,Anne
77,Betty
78,Marjorie
79,Fannie
80,Beulah
81,Marguerite
82,Opal
83,Jennie
84,Mamie
85,Cora
86,Ellen
87,Rosa
88,Ada
89,Violet
90,Jean
91,Lula
92,Velma
93,Sylvia
94,Charlotte
95,Dora
96,Inez
97,Georgia
98,Maggie
99,Genevieve
100,Hilda
101,Susie
102,Daisy
103,Emily
104,Sadie
105,Alberta
106,Theresa
107,Nora
108,Estelle
109,Juanita
110,Flora
111,Vivian
112,Olive
113,Wilma
114,Marian
115,Lola
116,Jane
117,Eunice
118,Nancy
119,Rosie
120,Mable
121,Lottie
122,Verna
123,Loretta
124,Lucile
125,Della
126,Barbara
127,Sara
128,Nettie
129,Eula
130,Maria
131,Geneva
132,Effie
133,Katie
134,Goldie
135,Harriet
136,Kathleen
137,Christine
138,Maude
139,Essie
140,Lizzie
141,Naomi
142,Lydia
143,Irma
144,Sophie
145,Erma
146,May
147,Ollie
148,Henrietta
149,Ora
150,Sallie
151,Rebecca
152,Sally
153,Madeline
154,Rachel
155,Addie
156,Geraldine
157,Caroline
158,Norma
159,Nina
160,Victoria
161,Lela
162,Iva
163,Amelia
164,Susan
165,Audrey
166,Etta
167,Mollie
168,Olga
169,Isabel
170,Nannie
171,Roberta
172,Phyllis
173,Adeline
174,Fern
175,Flossie
176,Miriam
177,Bonnie
178,Cleo
179,Maxine
180,Alta
181,Isabelle
182,Leola
183,Luella
184,Ola
185,Celia
186,Freda
187,Estella
188,Jeanette
189,Frieda
190,Jeannette
191,Muriel
192,Jewell
193,Janie
194,Carolyn
195,Winifred
196,Antoinette
197,Rita
198,Cecelia
199,Anita
200,Ina
201,Margie
202,Virgie
203,Shirley
204,Matilda
205,Elva
206,Hannah
207,Nell
208,Johnnie
209,Lorene
210,Allie
211,Wanda
212,Amanda
213,Veronica
214,Lorraine
215,Marcella
216,Regina
217,Faye
218,Claire
219,Lila
220,Adele
221,Cecilia
222,Sophia
223,Dorothea
224,Jewel
225,Selma
226,Eliza
227,Elma
228,Fay
229,Amy
230,Eloise
231,Sue
232,Janet
233,Zelma
234,Patricia
235,Angeline
236,Angelina
237,Winnie
238,Dolores
239,Millie
240,Eileen
241,Teresa
242,June
243,Elnora
244,Gussie
245,Tillie
246,Reba
247,Constance
248,Angela
249,Jeanne
250,Josie
251,Belle
252,Dollie
253,Ila
254,Adelaide
255,Rosalie
256,Callie
257,Elvira
258,Lee
259,Rena
260,Letha
261,Gracie
262,Lenora
263,Cecile
264,Bertie
265,Kate
266,Annette
267,Madge
268,Augusta
269,Hester
270,Olivia
271,Cornelia
272,Helene
273,Leah
274,Lora
275,Nola
276,Ernestine
277,Lorena
278,Odessa
279,Neva
280,Iola
281,Peggy
282,Arlene
283,Maudie
284,Ophelia
285,Birdie
286,Roxie
287,Carmen
288,Francis
289,Lessie
290,Claudia
291,Corinne
292,Edythe
293,Helena
294,Clarice
295,Delia
296,Leila
297,Billie
298,Dessie
299,Katharine
300,Myra
301,Aline
302,Carol
303,Joan
304,Lelia
305,Harriett
306,Mayme
307,Lou
308,Pearlie
309,Elaine
310,Oma
311,Iris
312,Bettie
313,Eugenia
314,Rhoda
315,Rosetta
316,Connie
317,Zella
318,Hallie
319,Jimmie
320,Frankie
321,Wilhelmina
322,Lilly
323,Catharine
324,Donna
325,Gwendolyn
326,Lulu
327,Melba
328,Rosemary
329,Willa
330,Maud
331,Christina
332,Merle
333,Natalie
334,Pansy
335,Rosella
336,Elinor
337,Dovie
338,Lenore
339,Cecil
340,Corine
341,Jannie
342,Erna
343,Ione
344,Lily
345,Lona
346,Molly
347,Annabelle
348,Dolly
349,Alyce
350,Imogene
351,Carmela
352,Georgie
353,Isabell
354,Linda
355,Yvonne
356,Eddie
357,Aileen
358,Louella
359,Lucinda
360,Johanna
361,Gertie
362,Golda
363,Iona
364,Alvina
365,Laverne
366,Lura
367,Tessie
368,Bernadine
369,Leora
370,Leota
371,Priscilla
372,Leone
373,Maurine
374,Rubye
375,Isabella
376,Vesta
377,Arline
378,Joyce
379,Leta
380,Louisa
381,Bess
382,Minerva
383,Lettie
384,Linnie
385,Bernadette
386,Elisabeth
387,Loraine
388,Vada
389,Hettie
390,Eleanore
391,Dixie
392,Hortense
393,Maybelle
394,Mona
395,Alpha
396,Cassie
397,Florine
398,Mathilda
399,Nona
400,Rae
401,Gloria
402,Kay
403,Vida
404,Concetta
405,Polly
406,Robbie
407,Sybil
408,Garnet
409,Mittie
410,Blanch
411,Era
412,Fanny
413,Avis
414,Evie
415,Janice
416,Phoebe
417,Verda
418,Elsa
419,Floy
420,Magnolia
421,Cynthia
422,Hulda
423,Orpha
424,Paula
425,Zula
426,Althea
427,Bella
428,Nelle
429,Queen
430,Lauretta
431,Clare
432,Corrine
433,Dorthy
434,Mercedes
435,Agatha
436,Evangeline
437,Idella
438,Philomena
439,Reva
440,Aurelia
441,Monica
442,Alva
443,Beryl
444,Retha
445,Antonia
446,Berniece
447,Cordelia
448,Ester
449,Harriette
450,Ivy
451,Lucia
452,Madelyn
453,Artie
454,Ocie
455,Ona
456,Angie
457,Camille
458,Carmella
459,Eve
460,Guadalupe
461,John
462,Mina
463,Gretchen
464,Madeleine
465,Tommie
466,Mazie
467,Nadine
468,Allene
469,Bobbie
470,Estell
471,Marietta
472,Rhea
473,Elise
474,Magdalene
475,Myrtie
476,Stephanie
477,Glenna
478,Zelda
479,Almeda
480,Hope
481,Mandy
482,Ursula
483,Clyde
484,Johnie
485,Lovie
486,Yetta
487,Zola
488,Georgiana
489,Judith
490,Lida
491,Manuela
492,Meta
493,Sudie
494,Vergie
495,Winona
496,Abbie
497,Lina
498,Una
499,Zora
500,Adell
501,Albertha
502,Ima
503,Julie
504,Margarita
505,Mozelle
506,Suzanne
507,Veda
508,Vernie
509,Beth
510,Elda
511,Joy
512,Marcia
513,Margery
514,Myrtis
515,Octavia
516,Aurora
517,Lue
518,Oleta
519,Ramona
520,Tressie
521,Wilda
522,Albina
523,Audra
524,Delma
525,James
526,Juana
527,Odell
528,Rowena
529,Rubie
530,Tina
531,Easter
532,Ferne
533,Lorna
534,Madie
535,Elena
536,Jacqueline
537,Luvenia
538,Patsy
539,Petra
540,Ray
541,Adela
542,Alene
543,Ava
544,Belva
545,Bennie
546,Claudie
547,Elna
548,Emilia
549,Filomena
550,Malinda
551,Margarette
552,Amie
553,Edwina
554,Emilie
555,Esta
556,Joanna
557,Leatha
558,Savannah
559,Celeste
560,Clementine
561,Earline
562,Eleanora
563,Magdalena
564,Pearle
565,Valerie
566,Altha
567,Bridget
568,Dorotha
569,Elvera
570,Ludie
571,Melvina
572,Nan
573,Rosalind
574,Delphia
575,Ethelyn
576,Freida
577,Melva
578,Roma
579,Valeria
580,Alda
581,Clemmie
582,Diana
583,Dorris
584,Lavina
585,Margret
586,Theo
587,Camilla
588,Joe
589,Marvel
590,Myrtice
591,Nita
592,Queenie
593,Verla
594,Bulah
595,Delores
596,Freddie
597,Georgianna
598,Grayce
599,Gwen
600,Juliette
601,Lennie
602,Lorine
603,Millicent
604,Minna
605,Novella
606,Theodora
607,Vallie
608,Claudine
609,Idell
610,Jo
611,Kitty
612,Pearline
613,Rosina
614,Chloe
615,Crystal
616,Dona
617,Ethyl
618,Francisca
619,Ossie
620,Pinkie
621,Reta
622,Verlie
623,Vina
624,Carolina
625,Charlie
626,Corene
627,Donnie
628,Faith
629,Gene
630,Jenny
631,Louvenia
632,Lyda
633,Nova
634,Pattie
635,Verona
636,Winnifred
637,Zona
638,Berta
639,Ellie
640,Eulalia
641,Ruthie
642,Sofia
643,Violette
644,Adelia
645,Aletha
646,Alfreda
647,Audie
648,Delphine
649,Emmie
650,Evalyn
651,Exie
652,George
653,Ira
654,Kattie
655,Leonora
656,Lucretia
657,Maxie
658,Renee
659,Rosamond
660,Rosia
661,Verdie
662,Alverta
663,Bethel
664,Enid
665,Florida
666,Lupe
667,Macie
668,Norine
669,Antonette
670,Beverly
671,Celestine
672,Elizebeth
673,Elmira
674,Emmer
675,Hertha
676,Hilma
677,Jettie
678,Leslie
679,Lonnie
680,Madaline
681,Mellie
682,William
683,Zenobia
684,Arvilla
685,Clifford
686,Justine
687,Katheryn
688,Treva
689,Velda
690,Velva
691,Anastasia
692,Bonita
693,Dortha
694,Elisa
695,Elouise
696,Ena
697,Kathrine
698,Lavinia
699,Marianne
700,Martina
701,Maybell
702,Melissa
703,Nelda
704,Rosalee
705,Yolanda
706,Adella
707,Alicia
708,Charity
709,Clarissa
710,Cordie
711,Felicia
712,Florene
713,Gail
714,Jackie
715,Judy
716,Susanna
717,Tennie
718,Therese
719,Cathryn
720,Dena
721,Elenora
722,Fairy
723,Germaine
724,Hildred
725,Leonor
726,Libby
727,Mallie
728,Myrle
729,Ressie
730,Signe
731,Augustine
732,Berenice
733,Consuelo
734,Eldora
735,Hedwig
