Rank,Girl Name,Boy Name
1,Mary,Robert
2,Betty,James
3,Barbara,John
4,Shirley,William
5,Dorothy,Richard
6,Patricia,Donald
7,Joan,Charles
8,Margaret,George
9,Helen,Thomas
10,Nancy,Joseph
11,Doris,Ronald
12,Joyce,David
13,Ruth,Edward
14,Carol,Paul
15,Virginia,Kenneth
16,Jean,Frank
17,Marilyn,Jack
18,Elizabeth,Harold
19,Frances,Raymond
20,Lois,Billy
21,Janet,Walter
22,Beverly,Gerald
23,Donna,Bobby
24,Norma,Eugene
25,Alice,Jerry
26,Dolores,Joe
27,Martha,Henry
28,Phyllis,Carl
29,Evelyn,Arthur
30,Gloria,Willie
31,Anna,Ralph
32,Ann,Albert
33,Carolyn,Fred
34,Marie,Lawrence
35,Mildred,Roy
36,Peggy,Harry
37,Rose,Howard
38,Annie,Norman
39,Ruby,Roger
40,Louise,Louis
41,Marjorie,Earl
42,Catherine,Daniel
43,Geraldine,Larry
44,Eleanor,Marvin
45,Joanne,Clarence
46,June,Franklin
47,Wanda,Michael
48,Jane,Wayne
49,Irene,Francis
50,Joann,Don
51,Delores,Ernest
52,Lillian,Anthony
53,Arlene,Leonard
54,Elaine,Leroy
55,Edna,Melvin
56,Lorraine,Jimmy
57,Marlene,Herbert
58,Bonnie,Stanley
59,Patsy,Bill
60,Josephine,Gary
61,Florence,Peter
62,Sally,Dale
63,Rita,Ray
64,Juanita,Alfred
65,Thelma,Bernard
66,Gladys,Samuel
67,Sarah,Gene
68,Janice,Jimmie
69,Audrey,Philip
70,Sylvia,Russell
71,Pauline,Gordon
72,Charlotte,Douglas
73,Wilma,Floyd
74,Kathleen,Theodore
75,Jo,Bob
76,Clara,Andrew
77,Theresa,Frederick
78,Ethel,Bruce
79,Grace,Lee
80,Jacqueline,Edwin
81,Edith,Glenn
82,Bernice,Lloyd
83,Loretta,Johnny
84,Lucille,Clyde
85,Emma,Clifford
86,Marion,Leo
87,Hazel,Leon
88,Anne,Allen
89,Carole,Vernon
90,Darlene,Jim
91,Esther,Martin
92,Billie,Eddie
93,Sandra,Alvin
94,Judith,Lewis
95,Ellen,Dennis
96,Laura,Warren
97,Marian,Herman
98,Vivian,Tommy
99,Beatrice,Harvey
100,Eva,Charlie
101,Katherine,Vincent
102,Willie,Jesse
103,Margie,Curtis
104,Roberta,Duane
105,Julia,Arnold
106,Jeanette,Gilbert
107,Elsie,Jerome
108,Kathryn,Elmer
109,Eileen,Patrick
110,Bobbie,Lester
111,Rosemary,Cecil
112,Bertha,Tom
113,Ella,Phillip
114,Maxine,Jackie
115,Maria,Milton
116,Lillie,Johnnie
117,Constance,Benjamin
118,Ida,Dean
119,Agnes,Roland
120,Sue,Glen
121,Christine,Stephen
122,Georgia,Victor
123,Alma,Chester
124,Diane,Alan
125,Sara,Keith
126,Nellie,Max
127,Vera,Sam
128,Bessie,Calvin
129,Jessie,Wallace
130,Anita,Claude
131,Jeanne,Manuel
132,Mattie,Maurice
133,Minnie,Jose
134,Lucy,Leslie
135,Gertrude,Hugh
136,Rosa,Willard
137,Yvonne,Edgar
138,Susan,Dick
139,Leona,Marion
140,Geneva,Darrell
141,Myrtle,Virgil
142,Viola,Wesley
143,Kay,Oscar
144,Velma,Jessie
145,Connie,Everett
146,Faye,Ted
147,Mae,Billie
148,Violet,Lowell
149,Naomi,Roosevelt
150,Sharon,Hubert
151,Charlene,Allan
152,Joy,Freddie
153,Suzanne,Neil
154,Pearl,Dan
155,Claire,Lyle
156,Harriet,Homer
157,Marcia,Jay
158,Carrie,Morris
159,Dora,Sidney
160,Rosie,Rodney
161,Eunice,Earnest
162,Pat,Wilbur
163,Rachel,Delbert
164,Gail,Carroll
165,Rebecca,Nicholas
166,Lula,Willis
167,Alberta,Luther
168,Cora,Tony
169,Stella,Ben
170,Lola,Horace
171,Maureen,Junior
172,Lena,Joel
173,Patty,Bennie
174,Caroline,Nathaniel
175,Emily,Rudolph
176,Hattie,Steve
177,Verna,Otis
178,Nina,Guy
179,Cynthia,Ronnie
180,Erma,Lonnie
181,Gwendolyn,Oliver
182,Linda,Terry
183,Genevieve,Clayton
184,Judy,Alton
185,Fannie,Mark
186,Jennie,Karl
187,Daisy,Benny
188,Marguerite,Marshall
189,Johnnie,Clifton
190,Beulah,Leland
191,Deloris,Bobbie
192,Hilda,Archie
193,Ramona,Mike
194,Glenda,Clinton
195,Jeannette,Salvatore
196,Bettie,Juan
197,Flora,Rex
198,Rosalie,Alex
199,Opal,Wendell
200,Nora,Alexander
201,Rosemarie,Ivan
202,Inez,Matthew
203,Annette,Doyle
204,Mamie,Danny
205,Diana,Pete
206,Jackie,Edmund
207,Ernestine,Merle
208,Carmen,Wilbert
209,Mabel,Orville
210,Lila,Julius
211,Myrna,Myron
212,Irma,Ira
213,Ada,Loren
214,Dixie,Nelson
215,Muriel,Eldon
216,Iris,Lynn
217,Laverne,Carlos
218,Miriam,Ramon
219,Marcella,Jacob
220,Della,Gerard
221,Madeline,Perry
222,Sheila,Troy
223,Janie,Jesus
224,Melba,Ervin
225,Eula,Elbert
226,Imogene,Barry
227,Maryann,Buddy
228,Paula,Dewey
229,Mable,Dwight
230,Susie,Conrad
231,Bette,Malcolm
232,Bettye,Sylvester
233,Maggie,Angelo
234,Blanche,Antonio
235,Eloise,Stuart
236,Colleen,Laurence
237,Katie,Isaac
238,Teresa,Rufus
239,Regina,Carlton
240,Priscilla,Aaron
241,Jacquelyn,Julian
242,Nadine,Pat
243,Freda,Irvin
244,Sadie,Jon
245,Reba,Nathan
246,Mona,Rudy
247,Fay,Mack
248,Lydia,Nick
249,Lorene,Tommie
250,Angela,Sheldon
251,Marianne,Dave
252,Bernadette,Grady
253,Antoinette,Teddy
254,Jimmie,Fredrick
255,Myra,Ross
256,Ollie,Ruben
257,Frankie,Neal
258,Karen,Sherman
259,Victoria,Owen
260,Estelle,Burton
261,Dorthy,Ellis
262,Ina,Clark
263,Lou,Byron
264,Amelia,Wilfred
265,Nettie,Irving
266,Sallie,Norbert
267,Essie,Bert
268,Henrietta,Forrest
269,Natalie,Sammy
270,Glenna,Dallas
