Rank,Girl Name,Boy Name
1,Mary,John
2,Anna,William
3,Emma,James
4,Elizabeth,George
5,Minnie,Charles
6,Margaret,Frank
7,Ida,Joseph
8,Alice,Thomas
9,Bertha,Henry
10,Annie,Robert
11,Clara,Edward
12,Sarah,Harry
13,Florence,Walter
14,Martha,Arthur
15,Ella,Fred
16,Grace,Albert
17,Laura,Samuel
18,Bessie,Louis
19,Nellie,David
20,Maude,Clarence
21,Cora,Charlie
22,Carrie,Richard
23,Mabel,Joe
24,Ethel,Andrew
25,Mattie,Will
26,Gertrude,Jesse
27,Jennie,Ernest
28,Rose,Oscar
29,Edith,Daniel
30,Hattie,Sam
31,Helen,Willie
32,Lillian,Alfred
33,Pearl,Roy
34,Louise,Benjamin
35,Julia,Carl
36,Lillie,Peter
37,Jessie,Frederick
38,Myrtle,Elmer
39,Edna,Lewis
40,Lula,Herbert
41,Eva,Lee
42,Catherine,Howard
43,Lena,Ralph
44,Ada,Paul
45,Frances,Jim
46,Lucy,Jacob
47,Fannie,Tom
48,Daisy,Martin
49,Josephine,Earl
50,Maggie,Claude
51,Dora,Herman
52,Katherine,Bert
53,Marie,Eugene
54,Agnes,Ed
55,Effie,Ben
56,Blanche,Francis
57,Rosa,Michael
58,Nora,Edgar
59,May,Edwin
60,Mamie,Chester
61,Stella,Harvey
62,Lizzie,Clyde
63,Sallie,Lawrence
64,Ellen,Luther
65,Elsie,Isaac
66,Della,Jack
67,Nancy,Charley
68,Nettie,Guy
69,Maud,Otto
70,Susie,Patrick
71,Mae,Ira
72,Sadie,Oliver
73,Flora,Hugh
74,Alma,August
75,Etta,Theodore
76,Lydia,Floyd
77,Addie,Leonard
78,Katie,Raymond
79,Susan,Alexander
80,Ruth,Allen
81,Georgia,Stephen
82,Lottie,Archie
83,Viola,Ray
84,Mollie,Jessie
85,Caroline,Homer
86,Nannie,Warren
87,Kate,Philip
88,Olive,Horace
89,Willie,Alex
90,Harriet,Eddie
91,Amanda,Julius
92,Eliza,Emil
93,Lulu,Marion
94,Virginia,Clifford
95,Emily,Milton
96,Kathryn,Leroy
97,Esther,Dan
98,Belle,Rufus
99,Rebecca,Leo
100,Charlotte,Sidney
101,Jane,Mack
102,Amelia,Wesley
103,Matilda,Bernard
104,Irene,Willis
105,Ollie,Anthony
106,Hannah,Dave
107,Henrietta,Everett
108,Pauline,Dennis
109,Rachel,Amos
110,Estella,Lester
111,Amy,Alonzo
112,Beulah,Perry
113,Augusta,Alvin
114,Ora,Leon
115,Sara,Harold
116,Sophia,Percy
117,Eleanor,Calvin
118,Lola,Jess
119,Mildred,Leslie
120,Nina,Lloyd
121,Theresa,Gus
122,Josie,Otis
123,Anne,Adam
124,Leona,Nathan
125,Ann,Franklin
126,Delia,Elijah
127,Lela,Matthew
128,Marion,Victor
129,Mayme,Noah
130,Rosie,Cornelius
131,Bettie,Norman
132,Ruby,Jerry
133,Iva,Levi
134,Janie,Earnest
135,Estelle,Hiram
136,Victoria,Nelson
137,Lou,Phillip
138,Barbara,Wallace
139,Callie,Maurice
140,Louisa,Elbert
141,Celia,Emmett
142,Evelyn,Jake
143,Mable,Ross
144,Beatrice,Jose
145,Betty,Adolph
146,Millie,Eli
147,Maria,Moses
148,Alta,Manuel
149,Luella,Silas
150,Dorothy,Wiley
151,Allie,Abraham
152,Birdie,Felix
153,Essie,Claud
154,Ola,Mark
155,Sophie,Christopher
156,Inez,Mike
157,Ina,Gilbert
158,Tillie,Jasper
159,Nell,Ellis
160,Rena,Melvin
161,Dollie,Aaron
162,Bertie,Alva
163,Eula,Marshall
164,Lelia,Willard
165,Sally,Wilson
166,Lucinda,Jeff
167,Cornelia,Morris
168,Harriett,Roscoe
169,Alberta,Wilbur
170,Myra,Jay
171,Lucille,Virgil
172,Sue,Clinton
173,Leila,Lonnie
174,Winifred,Ollie
175,Katharine,Simon
176,Isabelle,Mose
177,Abbie,Fredrick
178,Rhoda,Harrison
179,Sylvia,Monroe
180,Bess,Stanley
181,Mina,Harley
182,Verna,Max
183,Christine,Sylvester
184,Elva,Reuben
185,Eunice,Russell
186,Adelaide,Edmund
187,Genevieve,Timothy
188,Johanna,Curtis
189,Winnie,Millard
190,Eugenia,Garfield
191,Hazel,Ike
192,Hettie,Ora
193,Lida,Bruce
194,Isabel,Byron
195,Loretta,Irvin
196,Roxie,Nicholas
197,Adeline,Augustus
198,Gussie,Austin
199,Lenora,Owen
200,Lilly,Anton
201,Lettie,Marvin
202,Mathilda,Wade
203,Hulda,Edd
204,Vera,Steve
205,Gertie,Asa
206,Lila,Columbus
207,Lucretia,Bill
208,Adele,Irving
209,Christina,Newton
210,Jeanette,Clayton
211,Lois,Pete
212,Myrtie,Bob
213,Olga,Dock
214,Hester,Johnnie
215,Lily,Anderson
216,Mittie,Pearl
217,Carolyn,Elias
218,Hallie,Gustave
219,Phoebe,Nathaniel
220,Wilhelmina,Grover
221,Elnora,Arch
222,Helena,Clark
223,Jean,Joel
224,Jeannette,Riley
225,Nelle,Cecil
226,Hilda,Emery
227,Irma,Vernon
228,Lucile,Barney
229,Bernice,Lon
230,Leah,Rudolph
231,Minerva,Andy
232,Ophelia,Clifton
233,Cecelia,Glenn
234,Lora,Solomon
235,Francis,Abe
236,Naomi,Joshua
237,Selma,Sherman
238,Alvina,Christian
239,Marguerite,Hubert
240,Olivia,Jackson
241,Virgie,Preston
242,Louella,Donald
243,Meta,Ferdinand
244,Frieda,Scott
245,Teresa,Conrad
246,Zella,Enoch
247,Claudia,Mathew
248,Fanny,Chas
249,Violet,Cyrus
250,Dessie,Delbert
251,Elma,Don
252,Geneva,Louie
253,Georgie,Marcus
254,Leola,Orville
255,Lura,Tony
256,Sudie,Van
257,Gladys,Emanuel
258,Ivy,Ervin
259,Cynthia,Luke
260,Emilie,Major
261,Rosetta,Miles
262,Cassie,Gustav
263,Isabella,Jerome
264,Lilla,Lemuel
265,Catharine,Arnold
