Rank,Name
1,Mary
2,Betty
3,Barbara
4,Dorothy
5,Joan
6,Patricia
7,Margaret
8,Helen
9,Shirley
10,Doris
11,Nancy
12,Joyce
13,Ruth
14,Jean
15,Virginia
16,Marilyn
17,Elizabeth
18,Frances
19,Lois
20,Carol
21,Dolores
22,Alice
23,Norma
24,Donna
25,Janet
26,Beverly
27,Martha
28,Phyllis
29,Anna
30,Evelyn
31,Gloria
32,Mildred
33,Marie
34,Ann
35,Rose
36,Peggy
37,Annie
38,Eleanor
39,Louise
40,Marjorie
41,Carolyn
42,Geraldine
43,Ruby
44,Catherine
45,June
46,Irene
47,Jane
48,Wanda
49,Florence
50,Marlene
51,Lillian
52,Delores
53,Rita
54,Lorraine
55,Edna
56,Joanne
57,Thelma
58,Sarah
59,Audrey
60,Gladys
61,Elaine
62,Josephine
63,Juanita
64,Pauline
65,Patsy
66,Wilma
67,Clara
68,Bonnie
69,Grace
70,Theresa
71,Ethel
72,Joann
73,Marion
74,Arlene
75,Emma
76,Sally
77,Kathleen
78,Lucille
79,Charlotte
80,Edith
81,Janice
82,Hazel
83,Bernice
84,Sylvia
85,Anne
86,Jacqueline
87,Loretta
88,Esther
89,Marian
90,Jo
91,Laura
92,Billie
93,Willie
94,Beatrice
95,Margie
96,Darlene
97,Julia
98,Vivian
99,Elsie
100,Katherine
101,Eva
102,Rosemary
103,Jeanette
104,Ellen
105,Constance
106,Bertha
107,Carole
108,Kathryn
109,Ida
110,Maxine
111,Lillie
112,Roberta
113,Ella
114,Bobbie
115,Eileen
116,Anita
117,Bessie
118,Agnes
119,Judith
120,Nellie
121,Vera
122,Sara
123,Maria
124,Alma
125,Jeanne
126,Georgia
127,Jessie
128,Christine
129,Lucy
130,Mattie
131,Sue
132,Rosa
133,Gertrude
134,Diane
135,Minnie
136,Violet
137,Velma
138,Viola
139,Leona
140,Naomi
141,Geneva
142,Myrtle
143,Pearl
144,Claire
145,Sandra
146,Connie
147,Joy
148,Mae
149,Susan
150,Carrie
151,Dora
152,Harriet
153,Faye
154,Eunice
155,Rosie
156,Charlene
157,Cora
158,Alberta
159,Yvonne
160,Pat
161,Rachel
162,Marcia
163,Lola
164,Stella
165,Lena
166,Lula
167,Hattie
168,Verna
169,Rebecca
170,Maureen
171,Emily
172,Genevieve
173,Caroline
174,Fannie
175,Jennie
176,Erma
177,Nina
178,Sharon
179,Hilda
180,Ramona
181,Suzanne
182,Opal
183,Rosalie
184,Gwendolyn
185,Bettie
186,Miriam
187,Deloris
188,Flora
189,Beulah
190,Marguerite
191,Patty
192,Rosemarie
193,Nora
194,Inez
195,Johnnie
196,Mabel
197,Daisy
198,Muriel
199,Ada
200,Kay
201,Laverne
202,Mamie
203,Jeannette
204,Lila
205,Bette
206,Della
207,Ernestine
208,Carmen
209,Madeline
210,Eloise
211,Irma
212,Marcella
213,Mable
214,Blanche
215,Imogene
216,Linda
217,Melba
218,Cynthia
219,Iris
220,Bettye
221,Eula
222,Annette
223,Teresa
224,Katie
225,Susie
226,Sheila
227,Diana
228,Judy
229,Janie
230,Jackie
231,Sadie
232,Glenda
233,Maggie
234,Nadine
235,Priscilla
236,Colleen
237,Lydia
238,Regina
239,Antoinette
240,Dixie
241,Jacquelyn
242,Reba
243,Lorene
244,Mona
245,Paula
246,Amelia
247,Fay
248,Maryann
249,Marianne
250,Victoria
251,Freda
252,Angela
253,Ollie
254,Myrna
255,Sallie
256,Frankie
257,Essie
258,Jimmie
259,Dorthy
260,Winifred
261,Ora
262,Nettie
263,Ina
264,Gail
265,Lou
266,Iva
267,Estelle
268,Henrietta
269,Natalie
270,Etta
271,Myra
272,Olga
273,Lela
274,Jewel
275,Fern
276,Glenna
277,Nelda
278,Jewell
279,Lottie
280,Willa
281,Lenora
282,Mavis
283,Karen
284,Isabel
285,Veronica
286,Nell
287,Angelina
288,Elinor
289,Bernadine
290,Clarice
291,Cecilia
292,Celia
293,Luella
294,Alta
295,Dorothea
296,Elva
297,Cleo
298,Earline
299,Addie
300,Ola
301,Claudia
302,Dona
303,Gracie
304,Estella
305,Leola
306,Effie
307,Lizzie
308,Helene
309,May
310,Cecelia
311,Lee
312,Bernadette
313,Jeannine
314,Lavonne
315,Angeline
316,Jerry
317,Olive
318,Rosetta
319,Goldie
320,Ila
321,Rhoda
322,Lenore
323,Lupe
324,Polly
325,Adeline
326,Olivia
327,Joanna
328,Ruthie
329,Francis
330,Adele
331,Janis
332,Arline
333,Winnie
334,Corinne
335,Virgie
336,Greta
337,Leah
338,Sondra
339,Earnestine
340,Josie
341,Dolly
342,Faith
343,Isabelle
344,Delia
345,Earlene
346,Elnora
347,Adrienne
348,Lorna
349,Betsy
350,Rena
351,Robbie
352,Neva
353,Renee
354,Marlys
355,Guadalupe
356,Beverley
357,Tommie
358,Doreen
359,Dawn
360,Elvira
361,Therese
362,Lucile
363,Carmela
364,Amy
365,Pearlie
366,Millie
367,Sophie
368,James
369,Elma
370,Margery
371,Selma
372,Lora
373,Leila
374,Valerie
375,Flossie
376,Eugenia
377,Nannie
378,Lynn
379,Janette
380,Wilda
381,Julie
382,Sybil
383,Harriett
384,Nola
385,Corrine
386,Eleanore
387,Nona
388,Dollie
389,Rosella
390,Eddie
391,Robert
392,Mollie
393,Molly
394,Christina
395,Rae
396,Annabelle
397,Avis
398,Carmella
399,Claudette
400,Gwen
401,Bobby
402,Odessa
403,Beth
404,Cornelia
405,Edwina
406,Joe
407,Melva
408,Marylou
409,Consuelo
410,Deborah
411,Ilene
412,Lily
413,Loraine
414,Gretchen
415,Gayle
416,Reva
417,Antonia
418,Letha
419,Elouise
420,Frieda
421,Alicia
422,Bonita
423,Queen
424,Zelma
425,Allie
426,Aileen
427,Jannie
428,Marilynn
429,Gay
430,John
431,Corine
432,Louella
433,Concetta
434,Yolanda
435,Jenny
436,Bennie
437,Florine
438,Freddie
439,Margarita
440,Monica
441,Retha
442,Sonia
443,Alyce
444,Aurora
445,Ophelia
446,Angie
447,Charles
448,Francine
449,Lilly
450,Noreen
451,Winona
452,Callie
453,Carlene
454,Aline
455,Evangeline
456,Hope
457,Cecile
458,Johanna
459,Helena
460,Ima
461,Georgie
462,Hannah
463,Nira
464,Amanda
465,Matilda
466,Clare
467,Dianne
468,Eliza
469,Bertie
470,William
471,Pansy
472,Allene
473,Twila
474,Iona
475,Marietta
476,Merle
477,Maude
478,Delphine
479,Elena
480,Mercedes
481,Carla
482,Lorena
483,Lessie
484,Madge
485,Pearline
486,Ladonna
487,Lelia
488,Maudie
489,Velda
490,Alene
491,Ardis
492,Delma
493,Leta
494,Lucia
495,Reta
496,Roxie
497,Peggie
498,Verla
499,Leota
500,Nita
501,Althea
502,Belva
503,Beryl
504,Charlie
505,Germaine
506,Zelda
507,Andrea
508,Rosalyn
509,Hester
510,Marlyn
511,Emogene
512,Lorine
513,Gussie
514,Katharine
515,Vernell
516,Camille
517,Claudine
518,Dortha
519,Rosalee
520,Zella
521,Ardith
522,Iola
523,Ester
524,Freida
525,Oma
526,Gearldine
527,George
528,Roslyn
529,Terry
530,Bobbye
531,Ione
532,Phoebe
533,Enid
534,Madonna
535,Ouida
536,Berniece
537,Jaunita
538,Sonya
539,Madelyn
540,Millicent
541,Rowena
542,Edythe
543,Esperanza
544,Nan
545,Pattie
546,Celestine
547,Dorris
548,Jeanine
549,Birdie
550,Sammie
551,Augusta
552,Donald
553,Benita
554,Justine
555,Manuela
556,Marjory
557,Ursula
558,Delois
559,Jeanie
560,Leora
561,Lona
562,Lavon
563,Doretha
564,Jayne
565,Shirlee
566,Wilhelmina
567,Josefina
568,Maurine
569,Louisa
570,Richard
571,Roma
572,Sherry
573,Minerva
574,Tillie
575,Dovie
576,Elsa
577,Una
578,Billy
579,Elisabeth
580,Gilda
581,Leslie
582,Madeleine
583,Margret
584,Valeria
585,Elise
586,Kitty
587,Susanne
588,Berta
589,Dessie
590,Lucinda
591,Petra
592,Ava
593,Verda
594,Adelaide
595,Gerry
596,Hellen
597,Alva
598,Carolina
599,Charline
600,Elda
601,Isabell
602,Oleta
603,Isabella
604,Jeannie
605,Magdalene
606,Vada
607,Hallie
608,Jan
609,Philomena
610,Libby
611,Patti
612,Alfreda
613,Garnet
614,Jill
615,Vernice
616,Camilla
617,Denise
618,Ofelia
619,Rosalind
620,Darleen
621,Lauretta
622,Roseann
623,Syble
624,Darline
625,Francisca
626,Juana
627,Lettie
628,Treva
629,Dana
630,Georgene
631,Myrtis
632,Pamela
633,Loyce
634,Margot
635,Sydney
636,Tina
637,Gertie
638,Rhea
639,Stephanie
640,Veda
641,Vida
642,Celeste
643,Lavern
644,Yvette
645,Dottie
646,Carroll
647,Donnie
648,Norene
649,Sophia
650,Billye
651,Juliette
652,Laurel
653,Vesta
654,Caryl
655,Erna
656,Elisa
657,Harriette
658,Joseph
659,Agatha
660,Florene
661,Lue
662,Rubye
663,Dorene
664,Marylin
665,Leatrice
666,Adell
667,Linnie
668,Marylyn
669,Thomas
670,Angelita
671,Georgianna
672,Aurelia
673,Dorcas
674,Floy
675,Nila
676,Novella
677,Zola
678,Felicia
679,Ernestina
680,Sharlene
681,Clementine
682,Mitzi
683,Brenda
684,Lavina
685,Lynne
686,Marvel
687,Theodora
688,Bernita
689,Dorotha
690,Idella
691,Socorro
692,Toni
693,Alpha
694,Arleen
695,Elida
696,Margarette
697,Maryjane
698,Gene
699,Ivy
700,Mazie
701,Aletha
702,Charleen
703,Alvina
704,Daphne
705,Georgiana
706,Magdalena
707,Magnolia
708,Meredith
709,Cathryn
710,Georgette
711,Jolene
712,Laverna
713,Mozelle
714,Willene
715,Ira
716,Kate
717,Lovie
718,Maryanne
719,Mickey
720,Romona
721,Annetta
722,Charmaine
723,Cherie
724,Colette
725,Corene
726,Doloris
727,Jacquelin
728,Leatha
729,Lura
730,Orpha
731,Roselyn
732,Cassie
733,Elvera
734,Hortense
735,Rheta
736,Albertha
737,Carolee
738,Emilia
739,Fanny
740,Margarett
741,Mina
742,Catharine
743,Marianna
744,Zoe
745,Adela
746,Carmelita
747,Cherry
748,Katheryn
749,Ona
750,Tessie
751,Myrtice
752,Nedra
753,Sidney
754,Theda
755,Velva
756,Cordelia
757,Jeane
758,Joycelyn
759,Nanette
760,Norine
761,Ardella
762,Easter
763,Tressie
764,Almeda
765,Leonora
766,Mariann
767,Maxie
768,Zona
769,Chloe
770,Cleta
771,Elna
772,Evangelina
773,Frank
774,Gaynell
775,Kattie
776,Lina
777,Lynette
778,Marilou
779,Marsha
780,Jeraldine
781,Julianne
782,Barbra
783,Carmel
784,Eleanora
785,Lawanda
786,Lucretia
787,Romaine
788,Vina
789,Christene
790,Coleen
791,Eldora
792,Erlene
793,Johnie
794,Leone
795,Lonnie
796,Maybelle
797,Mittie
798,Raquel
799,Rochelle
800,Rosanne
801,Artie
802,Janelle
803,Mayme
804,Merlene
805,Patrica
806,Vergie
807,Vonda
808,Cecil
809,Crystal
810,Larue
811,Lynda
812,Ray
813,Twyla
814,Carleen
815,Carrol
816,Kathrine
817,Marita
818,Vilma
819,Bernardine
820,Dena
821,Elois
822,Ethelyn
823,Joye
824,Kaye
825,Melvina
826,Bethel
827,Blanch
828,Dale
829,Eve
830,Lavada
831,Lea
832,Odell
833,Wynona
834,Abbie
835,Annamae
836,Catalina
837,Claudie
838,David
839,Era
840,Evie
841,Jerrie
842,Lyla
843,Maryellen
844,Myrtie
845,Amalia
846,Jocelyn
847,Lida
848,Lita
849,Lolita
850,Vernie
851,Annabell
852,Audra
853,Augustine
854,Becky
855,Dee
856,Oralia
857,Rosia
858,Dean
859,Delphia
860,Ginger
861,Jonnie
862,Lyda
863,Rosina
864,Rubie
865,Adelina
866,Bridget
867,Cheryl
868,Edward
869,Eloisa
870,Inell
871,Lennie
872,Marceline
873,Marva
874,Nada
875,Nathalie
876,Willia
877,Winnifred
878,Ana
879,Ardell
880,Concepcion
881,Eartha
882,Estela
883,Freeda
884,Martina
885,Merna
886,Neoma
887,Cathrine
888,Juliana
889,Marta
890,Nella
891,Nova
892,Robin
893,Toby
894,Zula
895,Altha
896,Arvilla
897,Delfina
898,Dominga
899,Eulalia
900,Neta
901,Octavia
902,Waneta
903,Zora
904,Berneice
905,Carma
906,Elease
907,Esta
908,Jacklyn
909,Joretta
910,Letitia
911,Mardell
912,Phylis
913,Tomasa
914,Walter
915,Arletta
916,Belle
917,Dorine
918,Joetta
919,Nannette
920,Susanna
921,Venita
922,Vonnie
923,Arla
924,Delilah
925,Dorla
926,Earlean
927,Elissa
928,Elizebeth
929,Ines
930,Luvenia
931,Paulette
932,Raymond
933,Rosaline
934,Rosanna
935,Sonja
936,Verona
937,Alda
938,Almeta
939,Audry
940,Emilie
941,Georgina
942,Jack
943,Laquita
944,Merry
945,Monna
946,Mozell
947,Adella
948,Aida
949,Ardeth
950,Elayne
951,Filomena
952,Henry
953,Joellen
954,Macie
955,Marge
956,Zita
957,Armida
958,Beatriz
959,Concha
960,Dian
961,Herminia
962,Jeanetta
963,Kathern
964,Lavona
965,Malinda
966,Mandy
967,Marcelle
968,Melissa
969,Merilyn
970,Ossie
971,Paul
972,Pinkie
973,Alverta
974,Cathleen
975,Christeen
976,Estell
977,Ferne
978,Hettie
979,Louetta
980,Marilee
981,Noma
982,Palma
983,Rachael
984,Trudy
985,Bonny
986,Clarissa
987,Evalyn
988,Florida
989,Georgine
990,Hortencia
991,Jamie
992,Kenneth
993,Louvenia
994,Maud
995,Prudence
996,Roy
997,Theola
998,Veola
999,Antonette
1000,Ceola
