Rank,Name
1,Mary
2,Shirley
3,Barbara
4,Betty
5,Patricia
6,Dorothy
7,Joan
8,Nancy
9,Margaret
10,Carol
11,Helen
12,Joyce
13,Marilyn
14,Virginia
15,Doris
16,Ruth
17,Beverly
18,Elizabeth
19,Frances
20,Jean
21,Janet
22,Donna
23,Carolyn
24,Martha
25,Phyllis
26,Lois
27,Alice
28,Ann
29,Norma
30,Dolores
31,Janice
32,Gloria
33,Marie
34,Evelyn
35,Peggy
36,Anna
37,Rose
38,Sandra
39,Marlene
40,Mildred
41,Geraldine
42,Jane
43,Judith
44,Catherine
45,Annie
46,Louise
47,Eleanor
48,Joanne
49,Marjorie
50,Elaine
51,Ruby
52,Patsy
53,Sylvia
54,Arlene
55,Joann
56,Wanda
57,Irene
58,Delores
59,Sally
60,Sharon
61,Charlotte
62,June
63,Sarah
64,Roberta
65,Bonnie
66,Jacqueline
67,Kathleen
68,Audrey
69,Rita
70,Loretta
71,Edna
72,Jo
73,Carole
74,Thelma
75,Juanita
76,Lorraine
77,Josephine
78,Wilma
79,Lillian
80,Florence
81,Yvonne
82,Pauline
83,Darlene
84,Gladys
85,Emma
86,Grace
87,Edith
88,Theresa
89,Anne
90,Ethel
91,Clara
92,Lucille
93,Marion
94,Jeanette
95,Bernice
96,Hazel
97,Linda
98,Kay
99,Ellen
100,Katherine
101,Margie
102,Gail
103,Eileen
104,Anita
105,Julia
106,Laura
107,Esther
108,Willie
109,Sue
110,Susan
111,Rosemary
112,Diane
113,Kathryn
114,Marian
115,Vivian
116,Eva
117,Billie
118,Judy
119,Bobbie
120,Maria
121,Beatrice
122,Bertha
123,Elsie
124,Lillie
125,Annette
126,Ella
127,Maxine
128,Georgia
129,Sara
130,Ida
131,Christine
132,Karen
133,Constance
134,Connie
135,Nellie
136,Bessie
137,Alma
138,Marcia
139,Agnes
140,Jessie
141,Jeanne
142,Vera
143,Mattie
144,Joy
145,Charlene
146,Rosa
147,Lucy
148,Minnie
149,Myrna
150,Glenda
151,Suzanne
152,Pat
153,Geneva
154,Harriet
155,Maureen
156,Gertrude
157,Sheila
158,Rosemarie
159,Naomi
160,Myrtle
161,Leona
162,Faye
163,Rachel
164,Rebecca
165,Viola
166,Carrie
167,Velma
168,Dora
169,Violet
170,Mae
171,Emily
172,Pearl
173,Rosie
174,Dixie
175,Lula
176,Claire
177,Caroline
178,Shelby
179,Eunice
180,Alberta
181,Cora
182,Maryann
183,Patty
184,Cynthia
185,Paula
186,Stella
187,Lola
188,Jeannette
189,Verna
190,Jackie
191,Gwendolyn
192,Hattie
193,Johnnie
194,Nina
195,Lena
196,Deloris
197,Ramona
198,Colleen
199,Carmen
200,Rosalie
201,Erma
202,Diana
203,Bettie
204,Hilda
205,Fannie
206,Jennie
207,Claudia
208,Ernestine
209,Marguerite
210,Nora
211,Iris
212,Daisy
213,Miriam
214,Genevieve
215,Priscilla
216,Janie
217,Ada
218,Flora
219,Irma
220,Inez
221,Beulah
222,Mabel
223,Susie
224,Madeline
225,Melba
226,Della
227,Bette
228,Gayle
229,Mable
230,Laverne
231,Opal
232,Claudette
233,Regina
234,Mamie
235,Muriel
236,Jacquelyn
237,Lydia
238,Marianne
239,Teresa
240,Marcella
241,Antoinette
242,Maggie
243,Mona
244,Lila
245,Blanche
246,Bettye
247,Katie
248,Arline
249,Eula
250,Eloise
251,Reba
252,Janis
253,Angela
254,Amelia
255,Myra
256,Frankie
257,Sherry
258,Nadine
259,Sadie
260,Henrietta
261,Imogene
262,Ina
263,Fay
264,Jimmie
265,Nelda
266,Sallie
267,Lorene
268,Dawn
269,Victoria
270,Cecilia
271,Lou
272,Rosetta
273,Freda
274,Essie
275,Ollie
276,Estelle
277,Nettie
278,Cecelia
279,Winifred
280,Lavonne
281,Willa
282,Gracie
283,Valerie
284,Julie
285,Etta
286,Iva
287,Jerry
288,Helene
289,Natalie
290,Ora
291,Rochelle
292,Lee
293,Sondra
294,Dorthy
295,Mavis
296,Glenna
297,Jewel
298,Celia
299,Veronica
300,Jeannine
301,Lela
302,Leola
303,Fern
304,Clarice
305,Lenora
306,Olga
307,Betsy
308,Lynn
309,Bernadette
310,Dianne
311,Olivia
312,Isabel
313,Rhoda
314,Ola
315,Earline
316,Lenore
317,Beverley
318,Polly
319,Sybil
320,Lottie
321,Ruthie
322,Dorothea
323,Marlys
324,Joanna
325,Adele
