Rank,Girl Name,Boy Name
1,Mary,John
2,Anna,William
3,Elizabeth,James
4,Margaret,George
5,Ruth,Charles
6,Florence,Frank
7,Emma,Joseph
8,Ethel,Robert
9,Helen,Harry
10,Clara,Henry
11,Bertha,Edward
12,Minnie,Thomas
13,Bessie,Walter
14,Alice,Arthur
15,Annie,Fred
16,Grace,Albert
17,Ida,Clarence
18,Edna,Roy
19,Mabel,Willie
20,Lillian,Samuel
21,Marie,Earl
22,Rose,Louis
23,Gertrude,Joe
24,Martha,David
25,Hazel,Carl
26,Pearl,Ernest
27,Ella,Richard
28,Sarah,Charlie
29,Laura,Paul
30,Nellie,Ralph
31,Frances,Raymond
32,Myrtle,Andrew
33,Edith,Oscar
34,Eva,Will
35,Carrie,Jesse
36,Lillie,Elmer
37,Elsie,Harold
38,Louise,Sam
39,Cora,Howard
40,Hattie,Alfred
41,Julia,Daniel
42,Catherine,Benjamin
43,Agnes,Herbert
44,Mattie,Lawrence
45,Maude,Peter
46,Jessie,Lee
47,Lena,Grover
48,Jennie,Frederick
49,Josephine,Leo
50,Ada,Francis
51,Irene,Herman
52,Mae,Floyd
53,Lula,Eugene
54,Blanche,Jack
55,Lucy,Lewis
56,Alma,Clyde
57,Fannie,Ray
58,Mamie,Tom
59,Stella,Michael
60,Katherine,Ben
61,Dora,Martin
62,Mildred,Claude
63,Nora,Edwin
64,Maggie,Jim
65,Gladys,Guy
66,Viola,Ed
67,Esther,Edgar
68,Rosa,Homer
69,Ellen,Harvey
70,May,Luther
71,Sadie,Leonard
72,Effie,Chester
73,Nettie,Jacob
74,Ruby,Otto
75,Susie,Russell
76,Della,Lloyd
77,Beulah,Hugh
78,Willie,Anthony
79,Dorothy,Jessie
80,Lizzie,Clifford
81,Nancy,Lester
82,Flora,Philip
83,Olive,Theodore
84,Sallie,Oliver
85,Daisy,Bernard
86,Katie,Patrick
87,Georgia,Leroy
88,Kathryn,Ira
89,Lottie,Allen
90,Beatrice,Eddie
91,Marguerite,Archie
92,Pauline,Charley
93,Lydia,Leslie
94,Emily,Isaac
95,Marion,Alexander
96,Addie,Bert
97,Etta,Victor
98,Charlotte,Norman
99,Vera,Julius
100,Caroline,Horace
101,Virginia,Leon
102,Amanda,August
103,Ollie,Stanley
104,Leona,Stephen
105,Henrietta,Everett
106,Evelyn,Sidney
107,Theresa,Milton
108,Mollie,Marion
109,Anne,Alvin
110,Ora,Alex
111,Harriet,Harrison
112,Maud,Emil
113,Jane,Warren
114,Iva,Dan
115,Ann,Cecil
116,Eleanor,Earnest
117,Lola,Percy
118,Amelia,Nathan
119,Nannie,Willis
120,Lucille,Wesley
121,Hilda,Glenn
122,Rachel,Dave
123,Susan,Donald
124,Lela,Maurice
125,Rebecca,Rufus
126,Kate,Morris
127,Nina,Mack
128,Inez,Matthew
129,Estella,Virgil
130,Matilda,Otis
131,Amy,Calvin
132,Hannah,Willard
133,Lulu,Gilbert
134,Flossie,Lonnie
135,Maria,Wallace
136,Olga,Amos
137,Bernice,Emmett
138,Eula,Gus
139,Goldie,Jerry
140,Estelle,Jake
141,Essie,Wilbur
142,Eunice,Adolph
143,Augusta,Ollie
144,Eliza,Melvin
145,Alta,Jay
146,Mable,Perry
147,Barbara,Franklin
148,Sara,Jess
149,Sylvia,Vernon
150,Belle,Johnnie
151,Frieda,Adam
152,Josie,Glen
153,Loretta,Jose
154,Ola,Alonzo
155,Betty,Phillip
156,Rosie,Cornelius
157,Verna,Kenneth
158,Allie,Owen
159,Janie,Christopher
160,Lois,Abraham
161,Marjorie,Nelson
162,Sophia,Sylvester
163,Violet,Felix
164,Genevieve,Manuel
165,Freda,Roscoe
166,Victoria,Aaron
167,Celia,Max
168,Christine,Nicholas
169,Mayme,Rudolph
170,Winnie,Edmund
171,Ina,Elbert
172,Nell,Marshall
173,Isabelle,Vincent
174,Winifred,Harley
175,Selma,Bennie
176,Luella,Ross
177,Delia,Ellis
178,Sophie,Reuben
179,Lucile,Silas
180,Tillie,Marvin
181,Irma,Hubert
182,Jean,Mark
183,Millie,Moses
184,Norma,Elijah
185,Alberta,Irvin
186,Callie,Clinton
187,Elva,Orville
188,Rena,Curtis
189,Leila,Gordon
190,Bess,Cleveland
191,Cecelia,Dennis
192,Fern,Arnold
193,Lelia,Roland
194,Bertie,Simon
195,Marian,Noah
196,Leah,Claud
197,Sue,Nathaniel
198,Erma,Levi
199,Sally,Mike
200,Isabel,Sherman
201,Madeline,Bill
202,Bettie,Alva
203,Virgie,Pete
204,Birdie,Andy
205,Vivian,Anton
206,Gussie,Austin
207,Mathilda,Timothy
208,Kathleen,Barney
209,Adeline,Jasper
210,Roxie,Byron
211,Lila,Fredrick
212,Velma,Wiley
213,Dollie,Clifton
214,Naomi,Don
215,Teresa,Mose
216,Elsa,Steve
217,Johanna,Dock
218,Lora,Edd
219,Louisa,Grant
220,Rhoda,Hiram
221,Cecilia,Gerald
222,Lou,Jeff
223,Doris,Bob
224,Juanita,Clark
225,Nelle,Emanuel
226,Geneva,Bruce
227,Jeanette,Eli
228,Gertie,Clayton
229,Regina,Irving
230,Christina,Johnie
231,Meta,Karl
232,Bonnie,Millard
233,Hulda,Asa
234,Helena,Monroe
235,Adele,Douglas
236,Cornelia,Gustave
237,Hettie,Leland
238,Katharine,Wilson
239,Carolyn,Juan
240,Hester,Mathew
241,Jeannette,Roger
242,Leola,Ivan
243,Lucinda,Wade
244,Lenora,Abe
245,Abbie,Ora
246,Maudie,Ervin
247,Myra,Forrest
248,Adelaide,Julian
249,Elma,Earle
250,Hallie,Ike
251,Veronica,Mary
252,Harriett,Ward
253,Wilhelmina,Chris
254,Lilly,Forest
255,Letha,Preston
256,Opal,Scott
257,Francis,Augustus
258,Mina,Carroll
259,Linnie,Emery
260,Madge,Louie
261,Mittie,Columbus
262,Lettie,Cyrus
263,Zella,Miles
264,Olivia,Tony
265,Ophelia,Newton
