Rank,Girl Name,Boy Name
1,Mary,John
2,Helen,William
3,Anna,James
4,Margaret,George
5,Ruth,Robert
6,Elizabeth,Charles
7,Marie,Joseph
8,Florence,Frank
9,Mildred,Edward
10,Dorothy,Henry
11,Ethel,Thomas
12,Lillian,Walter
13,Alice,Harry
14,Gladys,Willie
15,Edna,Arthur
16,Frances,Albert
17,Annie,Clarence
18,Rose,Fred
19,Grace,Paul
20,Bertha,Harold
21,Bessie,Roy
22,Emma,Raymond
23,Hazel,Joe
24,Clara,Richard
25,Gertrude,Carl
26,Irene,Louis
27,Mabel,Jack
28,Louise,Ralph
29,Martha,Earl
30,Pearl,Theodore
31,Catherine,David
32,Esther,Ernest
33,Edith,Charlie
34,Myrtle,Samuel
35,Minnie,Howard
36,Eva,Francis
37,Thelma,Herbert
38,Ida,Lawrence
39,Elsie,Elmer
40,Josephine,Sam
41,Ruby,Alfred
42,Agnes,Leo
43,Sarah,Andrew
44,Nellie,Eugene
45,Beatrice,Lee
46,Viola,Leonard
47,Laura,Herman
48,Ella,Russell
49,Julia,Daniel
50,Evelyn,Michael
51,Lillie,Clyde
52,Mattie,Floyd
53,Lucille,Jesse
54,Carrie,Oscar
55,Alma,Ray
56,Pauline,Anthony
57,Lena,Kenneth
58,Mae,Donald
59,Virginia,Lewis
60,Jessie,Leroy
61,Willie,Lester
62,Blanche,Peter
63,Katherine,Frederick
64,Hattie,Edwin
65,Marion,Stanley
66,Lucy,Clifford
67,Mamie,Cecil
68,Stella,Benjamin
69,Leona,Chester
70,Cora,Claude
71,Vera,Martin
72,Beulah,Bernard
73,Fannie,Lloyd
74,Jennie,Tom
75,Bernice,Eddie
76,Rosa,Jessie
77,Lula,Norman
78,Ann,Alton
79,Ada,Harvey
80,Eleanor,Edgar
81,Maggie,Will
82,Dora,Luther
83,Kathryn,Ben
84,Ellen,Johnnie
85,Daisy,Jim
86,Maude,Philip
87,Violet,Homer
88,Doris,Alvin
89,Georgia,Jacob
90,Lois,Leon
91,Betty,Leslie
92,Sadie,Melvin
93,Nora,Milton
94,Marguerite,Roosevelt
95,Susie,Everett
96,Marjorie,Allen
97,Anne,Patrick
98,Hilda,Victor
99,Lola,Glenn
100,Opal,Virgil
101,Velma,Vincent
102,Della,Horace
103,Emily,Alexander
104,Inez,Marvin
105,Effie,Hugh
106,Olive,Gerald
107,Flora,Sidney
108,Theresa,Oliver
109,May,Marion
110,Charlotte,Earnest
111,Nettie,Julius
112,Lydia,Gilbert
113,Alberta,Archie
114,Goldie,Ed
115,Nancy,Otis
116,Loretta,Willard
117,Eunice,Stephen
118,Lottie,Vernon
119,Sylvia,Gordon
120,Katie,Jerry
121,Mable,Wilbur
122,Jean,Guy
123,Sallie,Morris
124,Genevieve,Hubert
125,Eula,Alex
126,Vivian,Isaac
127,Rosie,Charley
128,Estelle,Wesley
129,Essie,Maurice
130,Ollie,Wallace
131,Henrietta,Warren
132,Harriet,Otto
133,Lucile,Irving
134,Addie,Bennie
135,Lela,Mack
136,Caroline,Dan
137,Verna,Arnold
138,Iva,Manuel
139,Lizzie,Curtis
140,Ora,Ira
141,Marian,Jose
142,Jane,Roland
143,Madeline,Rufus
144,Maria,Willis
145,Geneva,Max
146,Rebecca,Orville
147,Kathleen,Lonnie
148,Irma,Nathan
149,Sara,Bill
150,Sophie,Rudolph
151,Barbara,August
152,Rachel,Phillip
